Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
John le Shipward	HCM 10		07c8ef19-f64d-49b5-a866-f11cf059f1ae	07c8ef19-f64d-49b5-a866-f11cf059f1ae	John 1¢ Sypward					Witness					Witness		M
William the Young	HCM 10		0934414c-edea-4554-bf76-dc141f3d2e5c	0934414c-edea-4554-bf76-dc141f3d2e5c	William his nephew, chaplains.	chaplain	nephew to Robert the Young			Principal|Clerical	Clerical			Principal			M
Bartholomew le Spicer	HCM 10		1ff1abc6-e1a7-43f7-9391-15e8c95f8388	1ff1abc6-e1a7-43f7-9391-15e8c95f8388	Bartholomew the apothecary é othecarius)					Witness					Witness		M
John Lyghtfot	HCM 10		3a67e78b-ec43-4730-b479-3431c316781b	3a67e78b-ec43-4730-b479-3431c316781b	John Lythfot, bailiff of the chapter	bailiff of the chapter				Witness|Agent	Agent				Witness		M
Philip Howell	HCM 10		3d5be2ba-6586-4534-890c-54f487f3c8ee	3d5be2ba-6586-4534-890c-54f487f3c8ee	Phillip Howettt					Witness|Scribe			Scribe		Witness		M
Nicholas de la Calewe	HCM 10		a6bd15db-2d3d-4cc5-a506-7a5f3266c887	a6bd15db-2d3d-4cc5-a506-7a5f3266c887	Nicholae de la Calewe OF este seen y wat	de Chirchebreynton				Principal				Principal			M
Reginald Moniword	HCM 10		b99ed950-241e-4023-b3a2-e54563711d2c; 9429e0c1-7c66-4a6f-bdde-457d1c96a439	b99ed950-241e-4023-b3a2-e54563711d2c	Heginald Moniward; Reginald Moniword					Neighbor	Neighbor				Witness		M
dean and chapter of Hereford	HCM 10		c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	dean and chapter of Hereford	dean and chapter of Hereford				Collective|Clerical|Lease-holder	Clerical|Lease-holder	Collective					M
Robert the Young	HCM 10		362224a6-5994-424c-8c3b-973a55950408	ecbef2e8-0dc9-414f-8cae-dd9629492ff1	Robert the young (dicto juveni)	chaplain				Principal|Clerical	Clerical			Principal			M
Richard de Swinfield	HCM 1003	RBLR 1732, HCM 1003	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5	Richard de Swynefeud, formerly bishop of Hereford					Dead|Clerical	Clerical					Dead	M
Richard de Wynchecoumbe	HCM 1003	RBLR 1732, HCM 1003	493e2eec-f31e-4b9d-8d58-095a9a3fe42a	493e2eec-f31e-4b9d-8d58-095a9a3fe42a	Richerd de Wynchecoumbe		cf W. de Wycombe, precentor Leominster, composer of Sumer is ycumen in?			Principal				Principal			M
executors of Richard de Swinfield	HCM 1003	RBLR 1732, HCM 1003	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford					Principal|Collective|Clerical	Clerical	Collective		Principal			M
Richard de Swinfield	HCM 1005	RBLR 1713, HCM 1005	f4c7fb82-e77a-4465-97e3-49daa6dcb1e9	1eb4933c-65f8-40fc-9eb8-7a62800229b5	Richard de Swynefeud, formerly bishop of Hereford,					Dead|Clerical	Clerical					Dead	M
executors of Richard de Swinfield	HCM 1005	RBLR 1713, HCM 1005	34c4787e-7f68-4e67-a975-fc3bdac93da4	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford,					Principal|Agent|Collective|Clerical	Clerical|Agent	Collective		Principal			M
