QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	TAGS	COMMENTS
.....wring	.....wring			Nominative	???
A Boue ghygne	A Boue ghygne			Street	
a canon's residence, rendered vacant by the death of Adam de Herwynton.	a canon's residence, rendered vacant by the death of Adam de Herwynton.	52.05684	-2.71482	Going to	in Hereford Cathedral Close|RB instructed to induct John Rees into his new canonical house
a croft formerly of Nicholas de la Calewe	a croft formerly of Nicholas de la Calewe			Building	
a diocesi nostra Herefordensi	a diocesi nostra Herefordensi			Going to	Hereford Diocese
Ailyneton	Ailyneton			Nominative	
Ailyneton'	Ailyneton			Nominative	
Aca	Aka				
Aka,	Aka	6.91854	7.39895	Nominative	Rock, near Droitwich, in Worcestershire
Ak'	Aka	37.377453	67.457312	Nominative	Aka? (i.e. Rock, Worcestershire?)
Alcester	Alcester	52.21667	-1.86667		
all the lands and tenements in the city of Hereford and in its suburb and also in the vills of Wyneston' Clehungr', and Bullynghop', which the grantors held of the gift of the said bishop	all the lands and tenements in the city of Hereford and in its suburb and also in the vills of Wyneston' Clehungr', and Bullynghop', which the grantors held of the gift of the said bishop			RB property	in Hereford, Winston, Clehonger, and Bullinghope
Alvechurch	Alvechurch	52.35173	-1.96531	RB property	
a messuage and arable land in the town of Breyntone.	a messuage and arable land in the town of Breyntone.			RB property	
a messuage and land in Breinton.	a messuage and land in Breinton.			RB property	in Breinton
a messuage and land in Tupsley	a messuage and land in Tupsley			RB property	Tupsley (akla Topesleye) is a suburb to the E/NE of city of Hereford; RB's brother is Hugh de Topesleye
a messuage containing three cottages with houses built thereon and seventy-one acres of arable land in the town of Chirchebroynton'	a messuage containing three cottages with houses built thereon and seventy-one acres of arable land in the town of Chirchebroynton'			RB property	in Breinton
a messuage in Castle Street, Hereford, for a habitation for the vicars and clerks of the church	a messuage in Castle Street, Hereford, for a habitation for the vicars and clerks of the church				
a messuage in Hereford lying in front between the land of dominus Robert de Marceleye (?), chaplain celebrating mass in the chuch of St. Nicholas, Hereford, for the souls of Walter de la Barre and Rose his wife, and the land of Walter de Burghulle, cobbler, and behind lying between the land of the said dominus Roger on both sides and extending from the highway as far as the land of the said Roger and the land of John Blak	a messuage in Hereford lying in front between the land of dominus Robert de Marceleye (?), chaplain celebrating mass in the chuch of St. Nicholas, Hereford, for the souls of Walter de la Barre and Rose his wife, and the land of Walter de Burghulle, cobbler, and behind lying between the land of the said dominus Roger on both sides and extending from the highway as far as the land of the said Roger and the land of John Blak			RB property	
a messuage with houses and buildings lying between the tenement of dominus John de la Pounde, chaplain, and the tenement of Robert de Somersete and extending from the highway as far as the land of John Lyghtfot In the city of Hereford	a messuage with houses and buildings lying between the tenement of dominus John de la Pounde, chaplain, and the tenement of Robert de Somersete and extending from the highway as far as the land of John Lyghtfot In the city of Hereford	52.05684	-2.71482	RB property	
Angouleme	Angouleme				
Annadown	Annadown				Now spelled Annaghdown-- not in any of the gazetteers though. https://en.wikipedia.org/wiki/Annaghdown
a piece of land with buildings lying in a place called Wrohthale in the city of Hereford	a piece of land with buildings lying in a place called Wrohthale in the city of Hereford	52.05684	-2.71482	RB property	
Aquablank	Aquablank			Nominative	Aquablanca
arable land in the vill and fields of Chyrchebreynton', viz, nine acres	arable land in the vill and fields of Chyrchebreynton', viz, nine acres			RB property	in or near Breinton
archdeacon of Worcester	archdeacon of Worcester			RB property	mistake for Archdeacon of Gloucester
archdeaconry	archdeaconry			Office|RB property	of Gloucester
a slender prebend of Hereford, value 10s	a slender prebend of Hereford, value 10s			RB property	
a tenement with buildings in the city of Hereford lying between the tenement of dominus John de Punda and the tenement of Robert de Somersete	a tenement with buildings in the city of Hereford lying between the tenement of dominus John de Punda and the tenement of Robert de Somersete	52.05684	-2.71482	RB property	
Auescrofte	Auescrofte			Property	
Avignon	Avignon	43.95159	4.80769		
Avignon	Avignon	43.95159	4.80769	Given at	
Avignon	Avignon	43.95159	4.80769	Given at	
Avinione, in hospicio habitacionis reverendi patris predicti	Avinione, in hospicio habitacionis reverendi patris predicti			Given at|Building	probably St Rufus beside Avignon, AO's usual residence
Avinione, in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis	Avinione, in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis			Given at	Avignon, specifically in the house where AO is residing, probably meaning priory of St Rufus juxta Avignon
Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus	Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus			Given at|Building	that is, in the hospice temporarily inhabited by AO, probably the Priory of St Rufus beside Avignon
Aymo de Sabaudia.	Aymo de Sabaudia.				
Banastre	Banastre			Nominative	Bannister?
Barewe	Barewe			Nominative	
Barewe	Barewe			Nominative	
Beaconsfield	Beaconsfield	-41.20227	146.81723		
Benefices	Benefices				
