Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	a4b06617-b784-424e-bc3a-651c37b1c0d0			her meadow at le Ryme	her meadow at le Ryme		PLACE											
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	16f4d541-0255-4f6b-8cd9-8cf1f84896cd	16f4d541-0255-4f6b-8cd9-8cf1f84896cd	16f4d541-0255-4f6b-8cd9-8cf1f84896cd;HCM 1877	Robert de la Wyke	Robert de la Wyke		PERSON	cf. Robert de Wychio?			Lease-holder	Lease-holder						M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	42e9e8dc-130b-4812-a9f0-195927f36bf0	42e9e8dc-130b-4812-a9f0-195927f36bf0	42e9e8dc-130b-4812-a9f0-195927f36bf0;HCM 1877	er le Blake de Heydon' Wyke	Margery le Blake de Heydon Wyke		PERSON	formerly|Margery le Blake de Heydon' Wyke			Lease-holder|Woman	Lease-holder|						W
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	3568d557-b399-4008-847e-353d64ddd487			all her meadow	all her meadow		PLACE											
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	dff416a1-7584-4ef5-841d-00a5dbb0a3fa	dff416a1-7584-4ef5-841d-00a5dbb0a3fa	dff416a1-7584-4ef5-841d-00a5dbb0a3fa;HCM 1877	James (soqo bus, apres	James Sprot	apres	PERSON	formerly|James (Jocobus) Sprot			Lease-holder	Lease-holder						M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	4349176e-2554-48e0-a82c-862f2970cc29			an acre end a half of land at wydihe une	an acre end a half of land at wydihe une		PLACE											
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	6a8d5b4a-318f-4d93-a246-0a5b913f19e2	6a8d5b4a-318f-4d93-a246-0a5b913f19e2	6a8d5b4a-318f-4d93-a246-0a5b913f19e2;HCM 1877	Adam Syward	Adam Syward		PERSON				Lease-holder	Lease-holder						M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	04882d9f-41c3-4b8f-ad4b-854f06b52e58	04882d9f-41c3-4b8f-ad4b-854f06b52e58	04882d9f-41c3-4b8f-ad4b-854f06b52e58;HCM 1877	John Warland',	John Warland		PERSON				Witness					Witness		M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	29a41d58-42e8-44fb-9766-8cab8940b6e5	29a41d58-42e8-44fb-9766-8cab8940b6e5	29a41d58-42e8-44fb-9766-8cab8940b6e5;HCM 1877	Walter de Grundewell’,	Walter de Grundewell		PERSON				Witness					Witness		M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	32f10144-526d-414a-a64d-6aad3de3c4c7	32f10144-526d-414a-a64d-6aad3de3c4c7	32f10144-526d-414a-a64d-6aad3de3c4c7;HCM 1877	William le Appelma'	William le Appelma'		PERSON				Witness					Witness		M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	5e710f3b-5bd1-44ad-9b02-311d1e2a5866	5e710f3b-5bd1-44ad-9b02-311d1e2a5866	5e710f3b-5bd1-44ad-9b02-311d1e2a5866;HCM 1877	Robert Kynot	Robert Kynot		PERSON				Witness					Witness		M
HCM 1877			1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	3d78cdec-aefc-4075-be0c-b1eb5924cda5	3d78cdec-aefc-4075-be0c-b1eb5924cda5	3d78cdec-aefc-4075-be0c-b1eb5924cda5;HCM 1877	John le Lange.	John le Lange		PERSON				Witness|Scribe			Scribe		Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		bb31b7d6-2331-4a6e-ae89-f541685c4df7	9850a9a6-b051-4a73-9f96-314c750d1242	9850a9a6-b051-4a73-9f96-314c750d1242;HCM 1879	Stephen, desn, and the chapter of the cathedral church of Hereford	Stephen de Ledbury dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		c8281c23-d1a1-4f72-aced-0c4c581e57f6	c8281c23-d1a1-4f72-aced-0c4c581e57f6	c8281c23-d1a1-4f72-aced-0c4c581e57f6;HCM 1879	Hugh de Preston, perpetual vicar of the church  of budelebury	Hugh de Preston	perpetual vicar of the church  of budelebury	PERSON	Dudelebury			Principal|Clerical	Clerical			Principal			M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		74a67b37-b9fd-4004-a6c1-86bc48da6e08			churches of Dudelebury and Longe Staunton' in the county of Salop with all buildings, tithes, and appurtenances	churches of Dudeleburi and Longe Staunton	tithes, and appurtenances	PLACE											
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		cb34892d-0adc-4aae-a9e3-757ddb1e91c0	cb34892d-0adc-4aae-a9e3-757ddb1e91c0	cb34892d-0adc-4aae-a9e3-757ddb1e91c0;HCM 1879	Walter de Wrokwsardyn, rector of the church of Colmyton'	Walter de Wrokwsardyn	rector of Colmyton'	PERSON	"also ""guarantor"""			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		1dc94dc4-fbf1-4a1d-b2dd-7b9c103472ff	1dc94dc4-fbf1-4a1d-b2dd-7b9c103472ff	1dc94dc4-fbf1-4a1d-b2dd-7b9c103472ff;HCM 1879	Adam, vicar of Staunton' Lacy	Adam vicar of Staunton Lacy	vicar of Staunton Lacy	PERSON	"also ""guarantor"""			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		0a1bf6a4-f12b-467b-ab84-c6bf30eb5880	0a1bf6a4-f12b-467b-ab84-c6bf30eb5880	0a1bf6a4-f12b-467b-ab84-c6bf30eb5880;HCM 1879	Robert de Honewelle, perpetusl vicar of the sltar of St. John the ae in the cathedral church of Hereford	Robert de Honewelle	perpetusl vicar of the sltar of St. John the ae in the cathedral church of Hereford	PERSON	"also ""guarantor"""			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		d04c64c4-2a9b-4acc-8097-fff27523ea87	d04c64c4-2a9b-4acc-8097-fff27523ea87	d04c64c4-2a9b-4acc-8097-fff27523ea87;HCM 1879	Richard de Colewelle,	Richard de Colewelle		PERSON	also guarantor|vicar at HC			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		a8bea7f2-75d3-4468-8726-6f10703c724a	560e0602-7dc9-4a95-9b7a-6c389c71f895	560e0602-7dc9-4a95-9b7a-6c389c71f895;HCM 1879	Willism de Blakemere,	William de Blakemere		PERSON	also guarantor|vicar at HC			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		082be708-79ef-4e89-8217-2911c7f6a253	082be708-79ef-4e89-8217-2911c7f6a253	082be708-79ef-4e89-8217-2911c7f6a253;HCM 1879	John de Aka	John de Aka		PERSON	also guarantor|vicar at HC			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		7bf57a56-9b36-480c-aeab-370fc7c76754	7bf57a56-9b36-480c-aeab-370fc7c76754	7bf57a56-9b36-480c-aeab-370fc7c76754;HCM 1879	Welter de FS bagged	Walter de Tyberton		PERSON	also guarantor|vicar at HC|Walter de Tyberton'			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		89e6352d-98a7-4b02-8d2c-57150404615d	89e6352d-98a7-4b02-8d2c-57150404615d	89e6352d-98a7-4b02-8d2c-57150404615d;HCM 1879	Walter de Hontelowe, perpetual vicars in  @ csthedrsel church of Hereford	Walter de Huntelowe	perpetual vicars in  @ csthedrsel church of Hereford	PERSON	also guarantor|vicar at HC			Witness|Clerical	Clerical				Witness		M
HCM 1879		chapter-house at Hereford	1333-06-11T00:00:00Z		c4c6bc55-b6a7-41d2-b807-bff0f0b86560			chapter=- house at Hereford	chapter-house at Hereford		PLACE				Given at	Given at						
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		15556384-3833-4972-83b8-1292f560c3b7	94b3c023-7659-4d17-986a-e40ce0baea5e	94b3c023-7659-4d17-986a-e40ce0baea5e;HCM 1881	Abbot and convent of St. Peter's, Gloucester;	Adam de Staunton abbot and convent of St Peter's Gloucester	abbot and convent of St Peter's Gloucester	PERSON	Adam de Staunton 1337-1351			Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]						aabade39-f8ba-481c-a646-3dda1233051f	aabade39-f8ba-481c-a646-3dda1233051f;[unknown]		abbot and convent of St Peter's Gloucester													
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		9228ea54-930f-4583-940c-aa99dc7d9de1	9228ea54-930f-4583-940c-aa99dc7d9de1	9228ea54-930f-4583-940c-aa99dc7d9de1;HCM 1881	Roger calied Horn de Standissh'	Roger Horn de Standish		PERSON	co-principal with Agnes Blakemon			Principal				Principal			M
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		19478079-a3b4-4aed-89b1-6aabff5ab464	19478079-a3b4-4aed-89b1-6aabff5ab464	19478079-a3b4-4aed-89b1-6aabff5ab464;HCM 1881	Agnes Blakemon	Agnes Blakemon		PERSON	co-principal with Roger called Horn de Standissh			Principal|Woman				Principal			W
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		57debfbd-b2ae-4e05-99d8-9b9172cfd440			a messuage and a mill with all the land adjoining at Stonhouse	a messuage and a mill with all the land adjoining at Stonhouse		PLACE											
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		828557b7-805a-4963-aa28-52f2c2a501df	828557b7-805a-4963-aa28-52f2c2a501df	828557b7-805a-4963-aa28-52f2c2a501df;HCM 1881	men (hominus) of Froucestr’ Lpertaining} to the said mill.	men of Froucestr’		PERSON				Collective|Agent	Agent	Collective					M
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		77eb216f-b82c-4aae-b00d-30dcba13049d	77eb216f-b82c-4aae-b00d-30dcba13049d	77eb216f-b82c-4aae-b00d-30dcba13049d;HCM 1881	their Asidbe	Roger Horn and Agnes Blakemon's household		PERSON	their familia, ie household of lessors Roger and Agnes			Collective|Office|Agent	Agent	Collective					M
HCM 1881		chapter-house at Gloucester	1340-05-24T00:00:00Z		3b8de417-1862-4a6f-a589-d92bbe562284			chapter-house at Gloucester	chapter-house at Gloucester		PLACE				Given at	Given at						
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		95f8af8b-887d-4718-8724-f2cddbbf1dcc	94b3c023-7659-4d17-986a-e40ce0baea5e	94b3c023-7659-4d17-986a-e40ce0baea5e;HCM 1885	Adam, abbot, and the convent of St. Peter's,  Gloucester	Adam de Staunton abbot and convent of St Peter's Gloucester	abbot and convent of St Peter's Gloucester	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]						aabade39-f8ba-481c-a646-3dda1233051f	aabade39-f8ba-481c-a646-3dda1233051f;[unknown]		abbot and convent of St Peter's Gloucester													
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		e26585c9-c7fa-4d4c-a659-8c969740e52c	e26585c9-c7fa-4d4c-a659-8c969740e52c	e26585c9-c7fa-4d4c-a659-8c969740e52c;HCM 1885	John de Stoktone,	John de Stoktone		PERSON				Principal				Principal			M
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		048d803b-c74b-4e1b-950f-8cccd475e814	048d803b-c74b-4e1b-950f-8cccd475e814	048d803b-c74b-4e1b-950f-8cccd475e814;HCM 1885	his servant	John de Stoktone's servant		PERSON				Office|Agent	Agent	Office					M
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		b6999a4e-9347-4b91-9856-a4b86bb258e6			the loft in which he lives at the time of the writing of the presents on the right-hand side of the a of the gate of la Wodebertone, sogounee with a lower chamber	the loft in which he lives at the time of the writing of the presents on the right-hand side of the a of the gate of la Wodebertone	sogounee with a lower chamber	PLACE											
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		7ff9f673-925a-4be1-9d86-d37960d747fe	7ff9f673-925a-4be1-9d86-d37960d747fe	7ff9f673-925a-4be1-9d86-d37960d747fe;HCM 1885	Walter le Riche	Walter le Riche		PERSON				Dead|Lease-holder	|Lease-holder					Dead	M
HCM 1885		a at Gloucester	1350-05-26T00:00:00Z		b3e6e328-e766-43db-bc81-75a982d61aed			a at Gloucester,	chapter-house at Gloucester		PLACE	chapter house at Gloucester	51.860322	-2.248262	Given at	Given at						
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		8b126e0f-f221-435d-acb6-ecbbe725e2b4	94b3c023-7659-4d17-986a-e40ce0baea5e	94b3c023-7659-4d17-986a-e40ce0baea5e;HCM 1887	Abbot and convent of St. Peter's, Gloucester;	Adam de Staunton abbot and convent of St Peter's Gloucester	abbot and convent of St Peter's Gloucester	PERSON	Adam, per HCM 1885			Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]						aabade39-f8ba-481c-a646-3dda1233051f	aabade39-f8ba-481c-a646-3dda1233051f;[unknown]		abbot and convent of St Peter's Gloucester													
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		b4082882-55e5-4676-9f8a-4a7549b8dabf	b4082882-55e5-4676-9f8a-4a7549b8dabf	b4082882-55e5-4676-9f8a-4a7549b8dabf;HCM 1887	John le Bole	John le Bole of Bokelond	husband to Matilda, daughter of William Hyche de Hynetone	PERSON	leases mills from St Peter's Glouc			Principal				Principal			M
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		3d703f54-9a64-4a65-a7cc-0b2a36524382	3d703f54-9a64-4a65-a7cc-0b2a36524382	3d703f54-9a64-4a65-a7cc-0b2a36524382;HCM 1887	Matilda, daughter of William Hyche de Hynetone,	Matilda wife of John le Bole daughter of William Hyche	daughter of William Hyche de Hynetone,	PERSON	wife to John le Bole			Principal|Woman				Principal			W
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		91b2f02c-23e2-44b4-9c8a-7f4155b17444	91b2f02c-23e2-44b4-9c8a-7f4155b17444	91b2f02c-23e2-44b4-9c8a-7f4155b17444;HCM 1887	William Hyche de Hynetone	William Hyche de Hynetone		PERSON	father to Matilda; St Peter's Glouc doc										
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		96fae1f3-3c51-40b5-8e0f-f1e6cc3f2be1			two water-mills in their demesne of Bokelonde with the suit and dwellinghouse and Le ulhoa pertaining to the said mills	two water-mills in their demesne of Bokelonde with the suit and dwellinghouse and Le ulhoa pertaining to the said mills		PLACE											
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		91160877-8195-48eb-b1bf-6b741b0ba5f8	91160877-8195-48eb-b1bf-6b741b0ba5f8	91160877-8195-48eb-b1bf-6b741b0ba5f8;HCM 1887	Thomas atte Temple	Thomas atte Temple		PERSON	re mills in Bokelond			Lease-holder	Lease-holder						M
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		59b5c05b-7963-46a0-a38c-aeda68ee2b14	59b5c05b-7963-46a0-a38c-aeda68ee2b14	59b5c05b-7963-46a0-a38c-aeda68ee2b14;HCM 1887	chamberlain of the Lessors	chamberlain of the abbot and convent of St Peter's Gloucester	chamberlain of the abbot and convent of St Peter's Gloucester	PERSON				Agent|Office	Agent	Office					M
HCM 1887		chapter-house at Gloucester	1350-04-11T00:00:00Z		d277cccc-950c-4bb3-bd47-bb72aa04c6fe			chapterhouse at Gloucester,	chapter-house at Gloucester		PLACE				Given at	Given at						
HCM 1892		Sugwas	1323-02-14T00:00:00Z		ee3993fc-65ce-4264-bbc8-62e42fedd45d	ce859ac7-0532-43e2-9359-1f495b0beefb	ce859ac7-0532-43e2-9359-1f495b0beefb;HCM 1892	Adam, bishop of Hereford	Adam de Orleton	bishop of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 1892		Sugwas	1323-02-14T00:00:00Z		f08af08a-6f77-40e0-85f5-3a7aba03cfe5	e4da2937-dc23-4b2e-b432-4316fb4b3171	e4da2937-dc23-4b2e-b432-4316fb4b3171;HCM 1892	John, dean, and the chapter of the cathedral church of Hereford, rectors of the church of Lideneye	John de Aqua Blanca dean and chapter of Hereford	dean and chapter of Hereford|rectors of Lideneye	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 1892		Sugwas	1323-02-14T00:00:00Z		57df5a99-b119-432f-ba6d-34d0863dfd53	f935c825-b89d-4bf1-ba91-aada18557672	f935c825-b89d-4bf1-ba91-aada18557672;HCM 1892	Hugh, perpetual vicar of the said church eneye,	Hugh vicar of Lydeneye	vicar of Lydeneye	PERSON	vicar of Lideneye			Principal|Clerical	Clerical			Principal			M
HCM 1892		Sugwas	1323-02-14T00:00:00Z		1e9b2ee8-537b-4a0c-a5bd-d8d479e9d13e			church of Lideneye with its chap » and abl tithes, rents, and other appurtenances	church of Lydeneye 	rents, and other appurtenances	PLACE											
HCM 1892		Sugwas	1323-02-14T00:00:00Z		53a3e3a4-4b40-46ad-9af2-a0626e09cfe7	53a3e3a4-4b40-46ad-9af2-a0626e09cfe7	53a3e3a4-4b40-46ad-9af2-a0626e09cfe7;HCM 1892	Walter, lord of Nasse,	Walter de Nasse	lord of Nasse	PERSON				Lease-holder	Lease-holder						M
HCM 1892		Sugwas	1323-02-14T00:00:00Z		31aa796c-3753-4b97-8491-41bc0dc2b388	e6ae77ea-62d6-476b-9741-5ab90d28ba73	e6ae77ea-62d6-476b-9741-5ab90d28ba73;HCM 1892	John ‘aryn	John Waryn		PERSON	John Waryn			Lease-holder	Lease-holder						M
HCM 1892		Sugwas	1323-02-14T00:00:00Z		6e55264f-6112-4112-8fcb-49c8e0b88a1f			Sugwas.	Sugwas		PLACE	Inspeximus given at Sugwas on date at top (1323.2.14), whereas chapter from 1317 (sat next before feast of St James), at chapter house at Hereford			Given at	Given at						
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		d9e9fc9b-a4f1-49f6-958a-285ddb6e9e05	e4da2937-dc23-4b2e-b432-4316fb4b3171	e4da2937-dc23-4b2e-b432-4316fb4b3171;HCM 1892-em	John, dean, and the chapter of the cathedral church of Hereford, rectors of the church of Lideneye;	John de Aqua Blanca dean and chapter of Hereford	dean and chapter of Hereford|rectors of Lideneye	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		f935c825-b89d-4bf1-ba91-aada18557672	f935c825-b89d-4bf1-ba91-aada18557672	f935c825-b89d-4bf1-ba91-aada18557672;HCM 1892-em	Hugh. of the said church of Lideneye	Hugh vicar of Lydeneye	vicar of Lydeneye	PERSON	Hugh, perpetual vicar of the church of Lideneye			Principal|Clerical	Clerical			Principal			M
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		5717b13b-a205-491d-b69e-3b73ed9fc18a			church of Lideneye with its chap and abl tithes, rents, and other appurtenances,	church of Lydeneye 	rents, and other appurtenances	PLACE											
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		41057cae-d37f-4f8f-b4eb-fc5f346b3414	53a3e3a4-4b40-46ad-9af2-a0626e09cfe7	53a3e3a4-4b40-46ad-9af2-a0626e09cfe7;HCM 1892-em	Walter, lord of Nasse	Walter de Nasse	lord of Nasse	PERSON	(party to)			Principal				Principal			M
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		e6ae77ea-62d6-476b-9741-5ab90d28ba73	e6ae77ea-62d6-476b-9741-5ab90d28ba73	e6ae77ea-62d6-476b-9741-5ab90d28ba73;HCM 1892-em	John ‘aryn	John Waryn		PERSON	Waryn|(party to  / security for)			Principal				Principal			M
HCM 1892-em		rere at Hereford	1317-07-23T00:00:00Z		6944a774-c1eb-4b0b-8da7-cdb1a095bfa7			rere at Hereford	chapter-house at Hereford		PLACE				Given at	Given at						
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		abb41c11-8f69-4814-be89-754566d4e409	3668f4a7-d489-48df-a974-ab6ff64e1f3f	3668f4a7-d489-48df-a974-ab6ff64e1f3f;HCM 1898	John, abbot, and the convent of St. Peter's, Gloucester;	John de Gamages abbot and convent of St Peter's Gloucester	abbot and convent of St Peter's Gloucester	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									abbot and convent of St Peter's Gloucester													
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		fcf78bd3-8717-4636-a96e-64c9f286295f	fcf78bd3-8717-4636-a96e-64c9f286295f	fcf78bd3-8717-4636-a96e-64c9f286295f;HCM 1898	Robert le Chapmon	Robert le Chapmon		PERSON	"(former) husband to Agnes (described as ""his first wife"")"			Principal				Principal			M
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		37a979a9-62f4-4f75-a8f9-3169a60a644c	37a979a9-62f4-4f75-a8f9-3169a60a644c	37a979a9-62f4-4f75-a8f9-3169a60a644c;HCM 1898	Agnes, his first wife	Agnes wife of Robert le Chapmon	his first wife	PERSON	(former?) wife to Robert le Chapmon|presumably dead?			Dead|Woman|Principal				Principal		Dead	W
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		dea7b2b8-2e0d-437e-8b73-fff6a7407e51			a fourth part of a virgate of lend with a messuage and all its ee	a fourth part of a virgate of lend with a messuage and all its ee		PLACE											
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		a4db35d5-b5ac-40e9-b4a9-ef8b323209d4	a4db35d5-b5ac-40e9-b4a9-ef8b323209d4	a4db35d5-b5ac-40e9-b4a9-ef8b323209d4;HCM 1898	Robert ate Crene	Robert atte Crene		PERSON	villein of Robert le Chapmon and Agnes			Lease-holder|Agent	Lease-holder|Agent						M
HCM 1898		chapter-house at Gloucester	1303-05-20T00:00:00Z		fec33e52-4c9f-479d-8c46-1b38b2cb1e0e			chapterhouse at Gloucester	chapter-house at Gloucester		PLACE				Given at	Given at						
HCM 1899		chapter-house of Hereford	1324-04-06T00:00:00Z		0aa882e7-b868-46c1-a725-595ec7c44596	9850a9a6-b051-4a73-9f96-314c750d1242	9850a9a6-b051-4a73-9f96-314c750d1242;HCM 1899	Sueuee de Ledebur', dean of Hereford, and the chapter of the same church	Stephen de Ledbury dean and chapter of Hereford	dean and chapter of Hereford	PERSON	stephen de Ledebury			Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 1899		chapter-house of Hereford	1324-04-06T00:00:00Z		856d134d-86d9-48ba-8a26-24138b8b01fd	1136cf0f-3f28-4292-bdb6-8af9cd1d0b1d	1136cf0f-3f28-4292-bdb6-8af9cd1d0b1d;HCM 1899	Phillip, Master of the fiospital of St. Katherine o! ury, and the brethren of the same place	Philip de Chaddesley master and brethren of St Katherine's Ledbury	master and brethren of St Katherine's Ledbury	PERSON	master of the hospital of St Kath, Ledbury			Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 1899		chapter-house of Hereford	1324-04-06T00:00:00Z		520dd454-d3fc-4376-83f8-93858a760280	91d3be9b-30a1-4f04-b9fc-a0fd71942145	91d3be9b-30a1-4f04-b9fc-a0fd71942145;HCM 1899	Richard Prentout.	Richard Prentout		PERSON	will serve as bailiff for Hosp of St Kath, at Kempeleye or Ledbury			Principal|Agent	Agent			Principal			M
HCM 1899		chapter-house of Hereford	1324-04-06T00:00:00Z		5fa50dfc-cf6b-4cef-8c73-97e798bca027			their lands and tenements	their lands and tenements		PLACE											
HCM 1899		chapter-house of Hereford	1324-04-06T00:00:00Z		9ce12b28-aeff-42e1-8061-876581151f93			chapter-house of Hereford	chapter-house at Hereford		PLACE	confirmation given in Chapter House at Hereford			Given at	Given at						
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		1136cf0f-3f28-4292-bdb6-8af9cd1d0b1d	1136cf0f-3f28-4292-bdb6-8af9cd1d0b1d	1136cf0f-3f28-4292-bdb6-8af9cd1d0b1d;HCM 1899-em	Phillip, Master of the fiospital of St. Katherine o! ury, and the brethren of the same place}	Philip de Chaddesley master and brethren of St Katherine's Ledbury	master and brethren of St Katherine's Ledbury	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		91d3be9b-30a1-4f04-b9fc-a0fd71942145	91d3be9b-30a1-4f04-b9fc-a0fd71942145	91d3be9b-30a1-4f04-b9fc-a0fd71942145;HCM 1899-em	Richard Prentout	Richard Prentout		PERSON	bailiff at Kempeleye & Ledbury			Principal|Agent	Agent			Principal			M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		2e8577ef-9d26-4345-9d7f-648e62b9fce6			their lands and tenements at sorters	their lands and tenements at sorters		PLACE											
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		537373ca-ea87-4dac-aaf8-ef4bb3b0cbfa			Ledbury	Ledbury		PLACE		52.03639	-2.42635	Given at	Given at						
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		a71e895b-4eca-4445-8238-17fa5392bf11	c0adbf96-8203-4604-b7a7-a694412481e1	c0adbf96-8203-4604-b7a7-a694412481e1;HCM 1899-em	Nicholas of the same hospital, chaplain	Nicholas de Aka	chaplain of St Katherine's Ledbury	PERSON	presumably Nicholas de Aka portionist of Ledbury (cf Nicholas portionist of Potesburi, chaplain)			Witness|Clerical	Clerical				Witness		M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		14555230-7ad6-4550-ab5d-d4483bae4bea	14555230-7ad6-4550-ab5d-d4483bae4bea	14555230-7ad6-4550-ab5d-d4483bae4bea;HCM 1899-em	Richard Bras	Richard Bras		PERSON				Witness					Witness		M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		91b27683-d9f0-4847-814e-388f93a9573c	91b27683-d9f0-4847-814e-388f93a9573c	91b27683-d9f0-4847-814e-388f93a9573c;HCM 1899-em	Jo @ Wynfreton'	John de Wynfreton		PERSON	John de Wynfreton			Witness					Witness		M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		8e81b077-9d15-4fda-b3e9-0496fc15d9b0	8e81b077-9d15-4fda-b3e9-0496fc15d9b0	8e81b077-9d15-4fda-b3e9-0496fc15d9b0;HCM 1899-em	John Seicel	John Seicel		PERSON				Witness					Witness		M
HCM 1899-em		Ledbury	1322-06-23T00:00:00Z		ea6a8b49-4be1-4d93-ade1-64de85234a2a	ea6a8b49-4be1-4d93-ade1-64de85234a2a	ea6a8b49-4be1-4d93-ade1-64de85234a2a;HCM 1899-em	John Sakes	John Jakes		PERSON	John Jakes			Witness|Scribe			Scribe		Witness		M
HCM 19			1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	399c40d6-78f5-4da1-aada-657cb2b810a5	399c40d6-78f5-4da1-aada-657cb2b810a5	399c40d6-78f5-4da1-aada-657cb2b810a5;HCM 19	Eva de Orreshay	Eva de Orreshay		PERSON				Principal|Woman				Principal			W
