Common Name	QUOTE_TRANSCRIPTION	LAT	LNG	TAGS	COMMENTS
Florence	Florence	43.77925	11.24626	Nominative	
Foston'	Foston'			Nominative	
Friscobaldi	Friscobald'			Nominative	Frescobaldi, which is a major family of Florence
Galuerhull	Galuerhull			Nominative	
Gardino	Gardino			Nominative	
Glouc'	Glouc'	51.86568	-2.2431	Nominative	
Gorewalle	Gorewalle			Nominative	
Grene	Grene			Nominative	
Gynes	Gynes			Nominative	
Harsecumb	Harsecumb			Nominative	
Hengham	Hengham;Hingham	52.57969	0.98422	Nominative	
Henthlan	Henthlan;Henthlan.			Nominative	
Hereford [Herefords]	Hereford [Herefords]			Nominative	
Herwynton	Herwynton			Nominative	
Heye	Heye			Nominative	
Ho'tone	Ho'tone			Nominative	
Hull	Hull	53.7446	-0.33525	Nominative	
Hunteleye	Hunteleye			Nominative	
Insula Vecta	Insula Vecta			Nominative	
Ipr	Ipr			Nominative	
Kedewelly	Cadwely;Kedewelly;Kedwell			Nominative	
Knapeton'	Knapeton'			Nominative	
Kyngescote	Kyngescote			Nominative	
la Haye	la Haye	49.22553	1.06774	Nominative	
la More	la More	31.32216	45.63782	Nominative	
Landesteffan	Landesteffan			Nominative	
Lanton	Lanthon;Lanton;Lanton'			Nominative	
Ledebury	Ledebur;Ledebury;Ledebury,	52.03639	-2.42635	Nominative	Ledbury, Herefordshire
Lenhales	Lenhales			Nominative	
Logwardyn	Logwardyn;Logwardyn',;Lugwardin;Lugwardyn			Nominative	
Longestaunton	Longestaunton'			Nominative	
Lullam	Lullam			Nominative	
M'ndene	M'ndene			Nominative	
Magna Marcleye	Magna Marcleye			Nominative	
Masyntone	Masyntone			Nominative	Mainstone?
Molendino	Molendino			Nominative	
Monnington	Monnington;Nonnynton			RB property, Nominative	Monnnington on Wye?
Monyton	Moniton;Monitone;Monyton';Monytone;Nonyton'			Nominative	Monnington?, Monnington-on-Wye, Monnington on Wye
Mortemer	Mortemer			Nominative	
Neucome	Neucome			Nominative	
Nortone	Norton	-17.88333	30.7	Nominative	
Oppton Episcopi	Oppton Episcopi			Nominative	Bishop's Upton
Overton	Overton	51.24389	-1.26154	Nominative	
Paston	Paston'			Nominative	
Pirytone	Pirytone			Nominative	
Poteston'	Poteston'			Nominative	
Pydesmore	Pydesmore			Nominative	
Pyon Canonicorum	Pyon' Canonicorum;Pyon’ Canonicorum			Landmark, Nominative	
Retherwas	Retherwas;Rotherwas			Nominative	Rotherwas?
Roilly	Roilly;Roily,			Nominative	
Rook	Rook			Nominative	
Rydmarleye	Rydmarleye			Nominative	
Saint Ismael'	Saint Ismael'			Nominative	
Salisbury (Nova Sarum)	Salisbury (Nova Sarum)	51.06931	-1.79569	Nominative	
Scheynton’	Scheynton’			Nominative	
Sevenok'	Sevenok'			Nominative	
Shropshire	Shropshire			Nominative	
Sned	Sned			Nominative	
St. David's	St. David's			Nominative	
Stildon	Stildon			Nominative	
Stretton	Stretton;Stretton'	53.33333	-2.56667	Nominative	
Suanton'	Suanton'			Nominative	
Swenesfeld	Swenesfeld			Nominative	
Swinfield	Swynefeud			Nominative	Swinfield, Swinfield
Testa	Testa	41.8260966	16.1999353	Nominative	
Teyntone	Teyntone			Nominative	
Thanet,	Thanet,	51.35	1.383333	Nominative	
the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger	the almshouse of the same place;			Nominative	the almshouse of the cathedral church of Hereford, which lies in Clehonger
the church of Ledebury	the church of Ledebury	52.03639	-2.42635	Nominative	Ledbury
thehale	thehale			Nominative	
Thornbury	Thornbury	51.60889	-2.52028	Nominative	
Tib'ton	Tib'ton	50.90241	-3.49232	Nominative	Tiverton?
Torbervile	Torbervile			Nominative	
Treyntone	Treyntone			Nominative	
Tyberton	Tyberton;Tybertone;Tybrihton	52.0455	-2.90414	Nominative	
Upton’	Upton’	42.17454	-71.60229	Nominative	
Valence	Valence	44.10823	0.89101	Nominative	
Waddeleye	Waddeleye			Nominative	
Waltone	Waltone			Nominative	
Welbeton	Welbeton			Nominative	
Weston	Weston;Weston';Weston’			Nominative	
Whiteneye,	Whiteneye,			Nominative	Whitney
Wilton	Wilton	41.19537	-73.4379	Nominative	
Winchcombe	Winchcomb;Winchcombe;Wynchecoumbe	51.95363	-1.96398	Going to, Nominative	Winchcombe
Winchester	Winchester	51.06513	-1.3187	Nominative	
Wormbrugg	Wormbrugg			Nominative	
Wycombe	Wycombe	51.62907	-0.74934	Nominative	
Wydemarsmore	Wydemarsmore			Nominative	
Wygemore	Wygemore	52.31667	-2.85	Nominative	Wigmore, Herefordshire
Wyk	Wyk	52.26667	-2.15	Natural feature, Nominative	Droitwich?
Wyntoniensis	wyntoniensi;Wyntoniensis			Nominative	Winchester, Diocese of Winchester, Winchester
