UUID	Document Number	Date	In Handlist	Common Name	QUOTE_TRANSCRIPTION	Lat	Lng	ANCHOR	TYPE	Place_Type	Person_Gender	TAGS	Role	Person_Named by	Person_Job	COMMENTS
a28d3f93-580a-480e-818c-d6e967df4481	HCM 1003	1317-05-26T00:00:00Z	1	Hereford	Hereford	52.05598	-2.71755	char-offset:302	PLACE			Given at	Given at			
c3228e8b-4d07-49ef-a3cf-429ec5cdf744	HCM 1003	1317-05-26T00:00:00Z	1	Hereford	Hereford	52.05598	-2.71755	char-offset:203	PLACE			Nominative	Nominative			
e4793bc8-c314-49ed-abac-7d18c2ff2664	HCM 1003	1317-05-26T00:00:00Z	1	Richard Swinfield	Richard de Swynefeud			char-offset:162	PERSON			Dead			bishop of Hereford	
5dfe165f-d4f3-4cb0-b751-9287db949d51	HCM 1003	1317-05-26T00:00:00Z	1	Richard Swinfield	Richard			char-offset:272	PERSON			Dead				Richard Swinfield, Bishop of Hereford
be425f09-151b-46d6-9392-1cc1014b4981	HCM 1003	1317-05-26T00:00:00Z	1	Richerd de Wynchecoumbe	Richerd de Wynchecoumbe			char-offset:98	PERSON			Principal				
4618f8dc-b13c-42ac-a780-28eab1d35dfb	HCM 1003	1317-05-26T00:00:00Z	1	Swingfield, Kent	Swynefeud	51.14647	1.16782	char-offset:173	PLACE			Nominative	Nominative			Swinfield
4a989880-5caf-4947-9760-e93d75f6d709	HCM 1003	1317-05-26T00:00:00Z	1	the executors of the will of dominus Richard de Swynefeud	the executors of the will of dominus Richard de Swynefeud			char-offset:125	PERSON			Collective|Office|Principal	Principal	Collective		
924c90b8-4bf2-43bb-8c95-32e136fa190a	HCM 1003	1317-05-26T00:00:00Z	1	Winchcombe, Gloucestershire	Wynchecoumbe	51.95356	-1.96390	char-offset:109	PLACE			Nominative	Nominative			
68d24f82-6f6b-41b5-b41f-f2e82605f92f	HCM 1005	1317-05-13T00:00:00Z	1	Bosbury, Herefordshire	Bos	52.08817	-2.44501	char-offset:446	PLACE			Given at	Given at			Bosbury (a favorite manor of the Bishop of Hereford)
c1bad6ef-4659-4e3d-a7f5-10ae9184cab3	HCM 1005	1317-05-13T00:00:00Z	1	Elianora, wife of Roger Racy	Elianora, wife of Roger Racy			char-offset:103	PERSON		Woman	Principal				aka Alianora Racy
d8a9e9ac-cdc8-4ef4-812a-bd9fb092b170	HCM 1005	1317-05-13T00:00:00Z	1	John de Kemeseye	John de Kemeseye			char-offset:143	PERSON			Principal			treasurer of Hereford	
367bed3f-f4a5-44c5-ae6b-09173b40331c	HCM 1005	1317-05-13T00:00:00Z	1	Kemeseye	Kemeseye			char-offset:151	PLACE			Nominative	Nominative			
76f9b39c-dee0-4faa-9949-42e69c4b7b96	HCM 1005	1317-05-13T00:00:00Z	1	Richard Swinfield	Richard			char-offset:416	PERSON			Dead				aka Richard Swinfield, Bishop of Hereford
1309b2b5-ac1f-4555-972d-480aa93ea583	HCM 1005	1317-05-13T00:00:00Z	1	Swingfield, Kent	Swynefeud	51.14647	1.16782	char-offset:239	PLACE			Nominative	Nominative			Swinfield
1881790e-66fa-4c7c-b81a-5fd35c55a633	HCM 1005	1317-05-13T00:00:00Z	1	the executors of the will of dominus Richard de Swynefeud	the executors of the will of dominus Richard de Swynefeud,			char-offset:191	PERSON			Collective|Principal	Principal	Collective		
03173be6-28a8-4210-9d82-d3f6aad2b4bd	HCM 1023	1317-05-27T00:00:00Z	1	Richard Swinfield	bishop of Hereford			char-offset:217	PERSON			Office		Office		
bf1874eb-6e3f-4a30-b8a8-20afa45a84e1	HCM 1023	1317-05-27T00:00:00Z	1	Richard de Hamenesche	canon of Hereford			char-offset:127	PERSON			Office		Office		
977ad8ad-0eba-4829-af7f-5aa0330956ee	HCM 1023	1317-05-27T00:00:00Z	1	Hereford	Hereford	52.05598	-2.71755	char-offset:382	PLACE			Given at	Given at			
5970dd71-b969-4018-a395-4098835a272a	HCM 1023	1317-05-27T00:00:00Z	1	Richard Swinfield	Richard de Swynefeud			char-offset:186	PERSON			Dead			bishop of Hereford	
0a24f226-45cd-48f1-a4ff-20d274ec0d6c	HCM 1024	1317-05-04T00:00:00Z	1	Richard Swinfield	bishop of Hereford			char-offset:189	PERSON			Office		Office		
0677e419-e61b-41aa-b882-10209fb85131	HCM 1024	1317-05-04T00:00:00Z	1	Hereford	Hereford	52.05598	-2.71755	char-offset:324	PLACE			Given at	Given at			
c7b9ea07-68ce-466a-9721-a16e8cf2ce7a	HCM 1024	1317-05-04T00:00:00Z	1	John de Kemeseye	John de Kemeseye			char-offset:70	PERSON			Executor			treasurer of Hereford	
724bb518-d2c6-4a2d-841c-b14e83636193	HCM 1024	1317-05-04T00:00:00Z	1	Richard Swinfield	Richard de Swynefeud			char-offset:158	PERSON			Dead			bishop of Hereford	
48d2a297-c844-48b3-984c-b16cab930482	HCM 1024	1317-05-04T00:00:00Z	1	Richard	Richard			char-offset:276	PERSON			Dead				
d62ec323-5716-4bfa-8f34-e3821471e924	HCM 1024	1317-05-04T00:00:00Z	1	John de Kemeseye	treasurer of Hereford			char-offset:88	PERSON			Office		Office		
a8130161-89c3-43b1-b749-f3816256e867	HCM 1025	1317-05-08T00:00:00Z	1	Richard Swinfield	bishop of Hereford			char-offset:186	PERSON			Office		Office		
8f8bf768-bdba-4cfc-9224-14b61638fb7f	HCM 1025	1317-05-08T00:00:00Z	1	Bromyard Hoddesbach	Bromyard Hoddesbach			char-offset:463	PERSON			Scribe				
7786a01c-dc2a-455e-b22e-0e73dd18eb5f	HCM 1025	1317-05-08T00:00:00Z	1	Hereford	Hereford	52.05598	-2.71755	char-offset:410	PLACE			Given at	Given at			
4a86e67b-98cf-40ba-955a-4719f081406b	HCM 1025	1317-05-08T00:00:00Z	1	Richard Swinfield	Richard de Swynefeud			char-offset:155	PERSON			Dead				
19ace0be-eeb2-44c2-9491-f3b994873bc0	HCM 1035	1317-08-10T00:00:00Z	1	Richard Swinfield	bishop of Hereford			char-offset:164	PERSON			Office		Office		
b16eab65-81d7-4019-a03e-1c1e3e78c502	HCM 1035	1317-08-10T00:00:00Z	1	London	London	51.51437	-0.09229	char-offset:305	PLACE			Given at	Given at			
4a07668f-487b-4777-bdfa-09aa84a42a95	HCM 1035	1317-08-10T00:00:00Z	1	William de Suanton	rector of the church of Cherring'			char-offset:59	PERSON			Office		Office		
2ec3774f-0ddd-4e68-9173-57d9fdc8b2a6	HCM 1035	1317-08-10T00:00:00Z	1	Richard Swinfield	Richard de Swynefeud			char-offset:133	PERSON			Dead			bishop of Hereford	
0e6af8a3-8959-4135-8813-9d4fb5a1b0e1	HCM 1035	1317-08-10T00:00:00Z	1	Richard	Richard			char-offset:257	PERSON			Dead				
ad201310-a70c-43c5-ae6f-3ce008a716bf	HCM 1049	1314-06-27T00:00:00Z	0	Richard Swinfield	bishop of Hereford			char-offset:128	PERSON			Office		Office		
7b17473a-8cd8-4666-b8a0-81cef53dda00	HCM 1049	1314-06-27T00:00:00Z	0	Bosbury, Herefordshire	Bosebur	52.08817	-2.44501	char-offset:440	PLACE			Given at	Given at			
372d365d-cb95-4bc1-8f56-7847267a9ac7	HCM 1049	1314-06-27T00:00:00Z	0	dean and chapter of Hereford	dean and chapter of Hereford			char-offset:221	PERSON			Office		Collective		
56a6392c-0860-4d1b-be98-163158f95189	HCM 1049	1314-06-27T00:00:00Z	0	dean and chapter of Hereford	dean and chapter			char-offset:395	PERSON			Office		Collective		
231e6af1-53d4-4d23-aadb-8ca02812e7bb	HCM 1059	1309-02-06T00:00:00Z	0	Richard Swinfield	bishop of Hereford			char-offset:73	PERSON			Office		Office		
38397d53-2abb-41f3-bd32-7e5a678e8468	HCM 1059	1309-02-06T00:00:00Z	0	dean and chapter of Hereford	the dean and chapter of Hereford			char-offset:96	PERSON			Collective		Collective		
294fe979-f223-48d0-ab5a-726a05f49599	HCM 1063	1313-08-26T00:00:00Z	0	Bosbury, Herefordshire	Bosebur	52.08817	-2.44501	char-offset:446	PLACE			Given at	Given at			
0370bbe3-858c-4126-8678-da5ba48b31c4	HCM 1063	1313-08-26T00:00:00Z	0	the imprisoned clerks	the imprisoned clerks			char-offset:184	PERSON			Collective		Collective		
e06d5daf-3da3-459a-8188-b4e5284276b4	HCM 1063	1313-08-26T00:00:00Z	0	the steward of the dean and chapter of Hereford	the steward of the dean and chapter of Hereford			char-offset:302	PERSON			Office		Collective		
79724e75-2f69-4563-a694-50c28537cc58	HCM 1063	1313-08-26T00:00:00Z	0	the vicar of the church of Woluyuehop	the vicar of the church of Woluyuehop			char-offset:94	PERSON			Office		Office		
79271d46-ece7-4071-896a-aa964833f979	HCM 1065	1316-01-15T00:00:00Z	0	John de la Maudeleyne	John de la Maudeleyne			char-offset:134	PERSON			Principal				
3a2b0c48-4c1b-4422-ab3f-d1314eec3c3a	HCM 1065	1316-01-15T00:00:00Z	0	King's justices	King's justices			char-offset:177	PERSON			Collective		Collective		
601e8446-74a4-4cc1-b5a7-9e7aa24c0731	HCM 1065	1316-01-15T00:00:00Z	0	Richard	Richard			char-offset:58	PERSON			Principal			bishop of Hereford	
0f3ea761-efa8-42c9-bc7f-bacce93c1454	HCM 1065	1316-01-15T00:00:00Z	0	dean and chapter of Hereford	the dean end chapter of Hereford			char-offset:90	PERSON			Collective|Executor		Collective		
48a6a632-c633-44af-bc85-14ae2ebb7a01	HCM 1077	1309-11-10T00:00:00Z	0	Robert, called le Dorturer de Selebourne	Robert, called le Dorturer de Selebourne			char-offset:72	PERSON			Scribe			notary public	
3420e57e-baf1-4bab-8a2c-4652ac38e790	HCM 1077	1309-11-10T00:00:00Z	0	William de Testa	the archdeacon			char-offset:884	PERSON			Office		Office		
fcf4d758-a651-4fc8-bd2f-ffe9594cb0a1	HCM 1077	1309-11-10T00:00:00Z	0	dean and chapter of Hereford	the dean and chapter of Hereford			char-offset:711	PERSON			Collective		Collective		
e0d34156-8cdb-493a-8ae5-9416f27bd9ba	HCM 1169	1316-07-24T00:00:00Z	0	Dominus Hugh de Brehousa	Dominus Hugh de Brehousa			char-offset:163	PERSON			Principal				
835a6926-4e0c-41ab-98c9-c8edd1159bf5	HCM 1169	1316-07-24T00:00:00Z	0	Frater John de Kyngeston	Frater John de Kyngeston			char-offset:27	PERSON			Principal				
5e43aea5-13af-40fb-b881-8dcb4550bb1d	HCM 1169	1316-07-24T00:00:00Z	0	Kingston	Kyngeston	51.4103	-0.2995	char-offset:42	PLACE			Nominative	Nominative			Kingston St Mary in Somerset?
fb61f5fd-e019-4f5c-9b32-2280c71a3906	HCM 1169	1316-07-24T00:00:00Z	0	Llanthony Priory, Wales	Lanthon	51.94444	-3.03778	char-offset:1292	PLACE			Given at	Given at			
706e5fd8-104f-4fa1-99bf-06ce6538435c	HCM 1169	1316-07-24T00:00:00Z	0	Richard Swinfield	the bishop of Hereford			char-offset:601	PERSON			Office		Office		
ac75f908-0f8f-49a7-8b14-689bd294c395	HCM 1169	1316-07-24T00:00:00Z	0	the convent of the Lanthon Primaa of the diocese of St. David's	the convent of the same place			char-offset:129	PLACE	Building		Building				Lanthon Prima of the diocese of St. Davids
f601e68d-8ca6-4fe8-a898-cfe314909d08	HCM 1169	1316-07-24T00:00:00Z	0	the highway	the highway			char-offset:1109	PLACE	Street		Street				
