source,relation,target,source_id,source_id_matched,target_id,target_id_matched,error
"Roger de Breintone, canons of the church of Hereford",Agent,"Richard, formerly bishop of Hereford",bc7b66fb-9d72-471c-b1aa-91a725ee3eb2,,05abc5c4-3b5d-46db-b267-c40e776d0379,,target id not matched
"Roger de Breintone, canons of the church of Hereford",Agent,"Richard, formerly bishop of Hereford",bc7b66fb-9d72-471c-b1aa-91a725ee3eb2,,05abc5c4-3b5d-46db-b267-c40e776d0379,,target id not matched
Richard de Vernoun,Agent,"Adam, bishop of Worcester",cade85c5-df00-4cec-a78f-47b8d7008950,,732aed0e-5f29-4504-b70d-7b8ba5925e23,,target id not matched
Richard de Vernoun,Agent,"Adam, bishop of Worcester",cade85c5-df00-4cec-a78f-47b8d7008950,,732aed0e-5f29-4504-b70d-7b8ba5925e23,,target id not matched
"Roger de Breynton', canons of the church of Hereford,",Agent,"Adam, bishop of Worcester",2a0dac06-11f9-4973-84f8-81d587b9bc34,,732aed0e-5f29-4504-b70d-7b8ba5925e23,,target id not matched
"Roger de Breynton', canons of the church of Hereford,",Agent,"Adam, bishop of Worcester",2a0dac06-11f9-4973-84f8-81d587b9bc34,,732aed0e-5f29-4504-b70d-7b8ba5925e23,,target id not matched
"warden of the chapel of St. Mary, canon in the church of St. Ethelbert",Agent,"dean and chapter of St. Ethelbert, Hereford,",c8885cd6-7ea1-4b08-8145-2ba4a9db2fa0,,f440b109-b3de-4d40-a507-19b45f6a4594,,target id not matched
"warden of the chapel of St. Mary, canon in the church of St. Ethelbert",Agent,"dean and chapter of St. Ethelbert, Hereford,",c8885cd6-7ea1-4b08-8145-2ba4a9db2fa0,,f440b109-b3de-4d40-a507-19b45f6a4594,,target id not matched
John de la Felde,Agent,"Richard, formerly bishop of Hereford",b5f76291-e275-482c-bb99-a9481537a2e0,,05abc5c4-3b5d-46db-b267-c40e776d0379,,target id not matched
John de la Felde,Agent,"Richard, formerly bishop of Hereford",b5f76291-e275-482c-bb99-a9481537a2e0,,05abc5c4-3b5d-46db-b267-c40e776d0379,,target id not matched
"Adam, bishop of Hereford",Agent,archbishop of Canterbury,bef61a82-5410-4801-80b5-5d3d9c3cadf7,,42677fbb-9fa4-4a2b-b269-1cdb116dce52,,target id not matched
"Adam, bishop of Hereford",Agent,archbishop of Canterbury,bef61a82-5410-4801-80b5-5d3d9c3cadf7,,42677fbb-9fa4-4a2b-b269-1cdb116dce52,,target id not matched
"Griffin de Charleton', canon of Hereford",Agent,chapter of the cathedral church of Hereford,952a01ce-af3f-449b-bdd2-f689cb0b7df9,,8aab73c3-9a0f-43f5-9d0a-674ff9667f94,,target id not matched
"Griffin de Charleton', canon of Hereford",Agent,chapter of the cathedral church of Hereford,952a01ce-af3f-449b-bdd2-f689cb0b7df9,,8aab73c3-9a0f-43f5-9d0a-674ff9667f94,,target id not matched
"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford",Agent,"Richard de Swynefeud, formerly bishop of Hereford",7d31e4a3-8f91-4acb-9063-922113893b37,,7840e89d-330a-4c89-b9c2-0166e2b1d7b9,,target id not matched
"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford",Agent,"Richard de Swynefeud, formerly bishop of Hereford",7d31e4a3-8f91-4acb-9063-922113893b37,,7840e89d-330a-4c89-b9c2-0166e2b1d7b9,,target id not matched
"John de Kemeseye, treasurer of Hereford",Agent,"Richard de Swynefeud, formerly bishop of Hereford",9811b72f-a28c-4369-b75c-ce5c0a05030b,,7840e89d-330a-4c89-b9c2-0166e2b1d7b9,,target id not matched
