source,target,relationship_id,dead,person_name_transcription,named_by,roles,certainty,weight
0020e911-9805-46ae-8b09-2a56c5868f75,2243,,1,Richard de Braumford',,,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2279,5798,0,Richard de Bramford,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2380,5806,0,Richard de Bramford,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2384,5818,0,Richard de Bramford' the elder,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2415,5801,0,Richard de Brannford’,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2428,,1,Richard de Braumford her husband,,,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2447,,1,Richard de Braumford' his grandfather,,,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2588,5812,0,Richard de Branford,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2590,5795,0,Richard de Bramford',,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2591,5797,0,"Richard de Bramford',",,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2592,5800,0,Richard de Brawsford,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2600,5804,0,"Richard de Bramford,",,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2601,5814,0,Richard [...]limberner’,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2605,5816,0,Richard de Bramford,,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2606,,0,witnesses: as in No. 2019,,,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2617,5805,0,Richard de Braumford';,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2618,5817,0,Richard de Braumford';,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2619,5808,0,Richard de Breumford,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2620,5807,0,Richard de Braumford';,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2621,5813,0,Richard de Braumford';,,Principal,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2622,5802,0,"Richard de Braunford,",,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2623,5803,0,"Xichard de Braunford',",,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2656,5796,0,Richard de Bramford',,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,2813,5815,0,Richard de bramford',,Witness,,1
0020e911-9805-46ae-8b09-2a56c5868f75,3139,,0,Richard de Braumford,,,,1
0028d6ae-e2b9-4b5b-9db3-093f41cba8e6,2263,,0,archieacon of Selisbury,Office,,,1
002f6425-43c5-4737-91fd-89f67f06aaa1,2429,,0,Andrew de Lulham,,,,1
00537400-ca21-4aca-a5cb-a46f7e14467b,2470,7107,0,Roger de le Halle of the same,,Principal,,1
005ac13e-454e-4527-aef8-f11c54de5b99,2570,8110,0,Thomas Polle,,Scribe|Witness,,2
0065ea2d-0147-4175-9e3c-e429dac0a8a7,2462,6601,0,Robert de Penres,,Witness,,1
0065ea2d-0147-4175-9e3c-e429dac0a8a7,2472,6603,0,"Robert de Penres, knight,",,Witness,,1
0065ea2d-0147-4175-9e3c-e429dac0a8a7,2493,6604,0,"Robert de Penres, knight",,Principal,,1
0065ea2d-0147-4175-9e3c-e429dac0a8a7,2636,6602,0,Robert de Penres,,Witness,,1
007a221d-23dd-4169-ae6f-bda6b56b9ff2,2404,5726,0,Richard atte Wode,,Witness,,1
007db579-bd3c-422e-8273-650a6ecb8226,2801,6781,0,Roger Berbe,,Scribe|Witness,,2
008eb947-333c-4566-9030-3d8c86a141dd,3256,836,0,certain officers,Collective,Principal,,1
0097c974-0e2a-4943-a141-5e74e2755c07,2321,1500,0,[rural] dean of Gloucester.,Office,Principal,,1
0097c974-0e2a-4943-a141-5e74e2755c07,2736,1499,0,dean of Gloucester,Office,Principal,,1
0097c974-0e2a-4943-a141-5e74e2755c07,2947,1497,0,dean of Gloucester,,Witness,,1
0097c974-0e2a-4943-a141-5e74e2755c07,2983,1498,0,dean of Gloucester,Office,Principal,,1
0098f9fe-5aea-4314-b506-55a1e12e4c62,2789,6500,0,Robert de Cors,,Witness,,1
0098f9fe-5aea-4314-b506-55a1e12e4c62,2845,6501,0,"Robert, lord of Stauntone",,Witness,,1
