ID,Label,gender,clerical,NodeType
dcef7f86-7af0-44e7-b47d-2a26dc00b72f,abbesse of Wherewelle,W,1,Person
3907827f-aefa-4fd2-b42b-abecf4e43448,abbot and chapter of Alcester,M,1,Person
f0242491-9455-45e7-8017-5e740b182dd8,abbot and chapter of Bordesley,M,1,Person
9a7b1962-8db0-45f5-a33b-d65eee43026a,abbot and chapter of Halesowen,M,1,Person
93f3c2ac-e934-441d-9ed5-dfc0b539a689,abbot and convent of Cirencester,M,1,Person
d250d602-7f27-4a9a-8d54-cf014facad4et,abbot and convent of Hailes,U,1,Person
16d87772-6c26-4a97-b7c2-57a1dcced714,abbot and convent of Kingswood,M,1,Person
0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,abbot and convent of Lyre,U,1,Person
9b68d498-8a1e-4dc1-8572-f85b3e80f46b2,abbot and convent of Reading,U,0,Person
2be23fad-ef9d-4931-8ee9-c42452fd4434,abbot and convent of Seez,M,1,Person
cf0136ef-606c-4a53-8d0c-00ac971583b2a,abbot and convent of Shrewsbury,U,1,Person
d250d602-7f27-4a9a-8d54-cf014facad4eu,abbot and convent of St Augustine's Bristol,U,1,Person
aabade39-f8ba-481c-a646-3dda1233051f,abbot and convent of St Peter's Gloucester,U,0,Person
3d47e488-9204-4381-8c2f-bb68fa725338,abbot and convent of Tewkesbury,M,1,Person
ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,abbot and convent of Wigmore,M,1,Person
7c5a9781-9803-4e8b-9ee1-520cd7699c05,abbot and convent of Winchcombe,M,1,Person
2b08e30f-644a-4f79-8873-eb6b736cc024,abbot of Keynsham,M,1,Person
dd6e03d3-4341-49c5-97dd-9b1c8bc6ad60,abbot of Osney,M,1,Person
9d678767-1ca4-416c-a5a5-04bea8be99da,abbot of Seez,M,1,Person
bd4529f6-fbe1-4845-a9dd-ae3de2703e5e,abbot of St Augustine's Bristol,M,1,Person
a95f86bb-f77f-4d73-93c0-7d68d939aebb,abbot of St Peter's Gloucester's villeins,M,0,Person
464e1026-122e-4da8-9876-d954ef685196,abbot of Strat Marhel,M,1,Person
52985aa0-1c97-42b0-bb5d-bbf6cae2bbe5,abbot of Tintern,M,1,Person
ce4f7b0b-b542-4a51-9344-41e515dc016c,abbot of Waverlegh,M,1,Person
0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of Wigmore,M,1,Person
7bc2078f-4ad7-4a5a-ba19-a0c2a43e8800,Absalom le Clerk,M,0,Person
8bafd4ea-602f-447f-9786-2eb265c4ba30,acolytes of Worcester Diocese,U,0,Person
c2f0db27-83b0-4308-aef3-786fbc6d0f01,Adam abbot of Wigmore,M,1,Person
7e3fe01c-4318-4cc8-8a63-1033d1757d71,Adam Alkerugge,M,0,Person
f1ea9ea1-b6b8-43b1-bb9c-c5604a2d796f,Adam ap Meurk,M,0,Person
480a1673-c47b-470a-929b-cf26aff11682,Adam Apeweye,M,0,Person
01a1a317-e910-4e1c-9f2a-00f0f0affb68,Adam atte Halle de Cranebroke,M,0,Person
1d74d033-96da-49e7-9ad3-25f93fd88f5b,Adam Belle,M,0,Person
a52bb40f-7c8d-4e49-b973-429744a9d90e,Adam Benet of Ledbury,M,0,Person
d6e715a9-225e-4ed8-ad91-b91f28a48546,Adam Benetot,M,0,Person
581cafe0-ef50-4b4a-89a9-2b111ab4b2e5,Adam Blacmon,M,0,Person
aae3f841-e4aa-4439-abde-de29c7dea9c5,Adam Carbonel,M,1,Person
eb3fb3a3-344d-431d-9c94-1db03887031b,Adam chaplain of Bromhard,M,1,Person
b48c04ec-6269-42fe-b856-ef0004843319,Adam Cole,M,0,Person
192ad953-ae8d-4a3b-8f9b-b87035083ed8,Adam de Alvington,M,1,Person
f08b9c36-dd35-4274-9889-d2d72d8980e5,Adam de Barewe,M,0,Person
27532d97-b789-47a0-8bc6-7a0e84580aad,Adam de Breconia,M,0,Person
54fbafc5-90d5-4deb-9790-b0b4f241b1ce,Adam de Bromptone,M,0,Person
e399a649-a896-4f64-b36c-b9383f55a935,Adam de Checkeleye,M,0,Person
2fb33130-1531-4af5-9ac5-b15cd89a7690,Adam de Chevenham,M,0,Person
445a39f0-0024-446a-892d-5f7e140f0810,Adam de Childestone,M,0,Person
30493b67-1320-47a3-8ba7-1368503ec656,Adam de Colewalle,M,0,Person
abaf30f0-7072-4009-b64e-dc4de9407121,Adam de Dunre,M,0,Person
14df8393-893b-4865-b101-e2da5a93363d,Adam de Eton,M,0,Person
88fce28d-e688-4825-8b5a-df3a3eb79ad5,Adam de Fileby,M,1,Person
f0c92523-a1cf-4156-88ce-e91663535108,Adam de Hales,M,1,Person
81779cb1-0255-4d03-a4cb-4eb79fd48732,Adam de Harvington,M,1,Person
