source	source_id	relation	target	target_id
canon of Hereford	39af0b99-acbc-4ff2-aded-35c8ca91cccb	Job	Thomas le Breoton	3dbdd05f-81cf-48d5-96c3-4ef5816a3cbf
bailiffs	8c64f2df-a829-4608-9caa-aa6af9dfb5ef	Job	Phillip le Werrour	0787a40f-6b23-4720-bca6-5e4bce17db2c
notary public	b33bfd2a-b46c-4f5c-81d6-f3d48be5c102	Job	Walter de Maddeleye	96daac07-826d-4576-9b64-96558ac3efe7
bailiffs	8c64f2df-a829-4608-9caa-aa6af9dfb5ef	Job	Roger Penk	b3a11e56-e2a6-4dc5-947f-7eae53b66912
rent-collector of the said dean and chapter in Hereford	e923746c-4e81-4bb9-a2ad-b1fde0587a90	Job	John Whyteneye	fcaae5dc-313b-40d4-a40a-2075d1b3df27
he church of Byford’	e13e882c-419b-49aa-96f4-2f80a2dd0e17	Job	Hugh Hakelute	b1346163-9578-4cda-a529-7061e2ca1456
citizen of Hereford	5cc857b7-03c2-4322-ad61-11dfa8fb69d3	Job	John Monyword	38d00dea-d7a4-42d3-a0e1-1a385a476520
merchants	8b915483-785d-4fa8-96f9-09ac789e6e58	Job	Menent Francisk'	8ab4170f-9fea-4ccb-8614-ed290746e6bf
merchants	8b915483-785d-4fa8-96f9-09ac789e6e58	Job	Menent Francisk' and his fellow-merchants of the society of Bardi [of Florence]	8f4e6567-3502-4dda-8cd8-fa34fbe779b6
sub-collectors of the annual tenth granted to the King by the Pope	253d4fe6-6ef2-4a86-b92b-fb569f21acef	Job	the dean and chapter of the dean and chapter of Hereford	aad4fc34-22da-49f3-a75d-1abf9c68b112
subtreasurer of the church of Hereford	ba4a8e5d-84a1-45ec-9dd1-ca39c18cb075	Job	William [Valet]	49d2b5cc-67fd-4445-b07f-ea7be057aea9
dean of Hereford	9861dcbe-9cf2-4329-8eeb-4cae1d033a9a	Job	John de Aqua Blanca	1dd9f8e5-6858-44fe-86ba-579c390b2476
chaplain, receiver of the chapter of Hereford.	39e99a98-f2df-410c-bd22-b143ab388bb7	Job	Dominus Willam the Young	5cb96541-9d6e-4121-86c6-cbbcbaa07480
sub-dean of Hereford	d66c85c9-ae21-47c5-988b-fe772a48fbd0	Job	Richard de Hamenays	58c4698c-2930-43d6-8ada-d3c825440d9e
commissary of dominus R., bishop of London	7820e095-f1de-47c0-bd5a-927d65c785d5	Job	William de Halstede	d9d515a7-9ab2-474e-a505-9db386ba88f8
vicar in the greater church of Hereford	ae352777-03c4-40ee-aeb4-945e3dc11d70	Job	Nicholas de Yaneworth	53993c93-c865-48e2-90ce-e1cfa7e6c5f7
receiver of the annual tenth	d1e3b1c5-6aac-4c19-80c5-0cf284499f82	Job	Nicholas de Yanewrth	186ab146-d365-4c1c-b937-484ddf567943
collectors of the said tithe for Pope Clement [V]	2a0cfcb5-1563-4d6d-9d06-96ef6667188d	Job	bishops of London	1843a632-0a10-4fe8-90bc-059ee1f750bd
Lincoln	3aa73539-4166-433a-8f86-6a46a0e12939	Job	collectors of the said tithe for Pope Clement [V]	2a0cfcb5-1563-4d6d-9d06-96ef6667188d
proctors	1f93ca60-82c7-4fce-be86-47665f94da24	Job	Barewe	2560c986-522a-4026-a3d9-4ab8fb42bea9
proctors	1f93ca60-82c7-4fce-be86-47665f94da24	Job	John Gorewy	333746f9-aa98-40d8-a405-1bcbb6417ecd
canons of the cathedral church of Hereford	b1f610f4-e921-4bca-a800-c04a1922e8ce	Job	James de Henle	6b2bf0ab-f302-4a06-9a85-f38359ef927c
canons of the cathedral church of Hereford	b1f610f4-e921-4bca-a800-c04a1922e8ce	Job	Adam Carbonel	88a52373-87b1-460a-a869-ec8622ef3690
canons of the cathedral church of Hereford	b1f610f4-e921-4bca-a800-c04a1922e8ce	Job	Stephen de Thanet’	1ef92443-6b95-4ed7-bc36-eb27d70f2ab8
vicar in the said church	da4dffc8-0b24-44e4-9cf0-2ee68f70cacd	Job	Nicholas de Yaneworth	3c45d528-790a-4a46-9dfa-1718a51dfeae
subcollectors of the tenth	013d7ada-6c65-4c0f-8812-fcad529c9e17	Job	the dean and chapter of Hereford	c5497861-a410-4abf-be56-dca824cb1584
collector of the said tenth	5c569852-c594-4ed9-9123-fe8c001efdbf	Job	R., bishop of London	dc7eb7fe-3f0e-4c5f-9b94-15f013851f2d
collector of the said tenth	5c569852-c594-4ed9-9123-fe8c001efdbf	Job	bishop of Lincoln	ce918d05-2732-46bb-9985-021033734b09
notary public	1c910d7b-a14d-4e07-a75d-46af4947e404	Job	William de Maldon’	66d7b921-5af0-4a7f-a4b0-77305d1e1a59
dean and chapter of Hereford	f2462521-bd60-4599-befa-870e20475ea1	Job	subcollectors of the said tenth	64a9b119-0b3a-4a8a-85f9-55e2293f47ce
chaplain	aa69697c-e88e-4a86-a527-b2c734b855af	Job	Nicholas de Yanewrth	186ab146-d365-4c1c-b937-484ddf567943
clerks	91cdfd1a-d117-47ad-94eb-2784448bff73	Job	John de Barewe	4f264c23-1406-4870-9c56-e84a889b45c5
clerks	91cdfd1a-d117-47ad-94eb-2784448bff73	Job	John Gorewy	333746f9-aa98-40d8-a405-1bcbb6417ecd
parishioners	b03c8a45-9f31-49ca-a3b7-a4c7c00f6eda	Job	Henry le Forester de Corston'	50811aaa-de7e-4c91-aa92-4096d3e9caa2
parishioners	b03c8a45-9f31-49ca-a3b7-a4c7c00f6eda	Job	Thomas le Childe'	ab07f141-de09-43ba-a8ed-40a3d0d70f32
parishioners	b03c8a45-9f31-49ca-a3b7-a4c7c00f6eda	Job	Richard le Child'	5e8c126d-625d-4b39-afd7-4c99b218e156
bishop of Hereford	03173be6-28a8-4210-9d82-d3f6aad2b4bd	Job	Richard de Swynefeud	5970dd71-b969-4018-a395-4098835a272a
bishop of Hereford	19ace0be-eeb2-44c2-9491-f3b994873bc0	Job	Richard de Swynefeud	2ec3774f-0ddd-4e68-9173-57d9fdc8b2a6
canon of Hereford	bf1874eb-6e3f-4a30-b8a8-20afa45a84e1	Job	Richard de Hamenasch	30f82127-1e5c-42ac-a4af-cb0997b75c85
Richard de Swynefeud	4a86e67b-98cf-40ba-955a-4719f081406b	Job	Hereford	bb8dc318-968d-45eb-b7e9-99de7a96b953
bishop of Hereford	ad201310-a70c-43c5-ae6f-3ce008a716bf	Job	Richard	e95a2eba-6319-4414-a886-45cf1308fa0e
treasurer of Hereford	d62ec323-5716-4bfa-8f34-e3821471e924	Job	John de Kemeseye	c7b9ea07-68ce-466a-9721-a16e8cf2ce7a
bishop of Hereford	0a24f226-45cd-48f1-a4ff-20d274ec0d6c	Job	Richard de Swynefeud	724bb518-d2c6-4a2d-841c-b14e83636193
rector of the church of Cherring'	4a07668f-487b-4777-bdfa-09aa84a42a95	Job	William de Suanton	5cbfd43e-b4cc-4808-9055-abe1441dd690
late treasurer and prebendary of Berton’	410210c9-0cb0-45b6-8d99-77ed518ca869	Job	John de Kemeseye	0cafc5a6-182d-4b6f-b0c2-ba4ffade616e
treasurer of Hereford	b17e74d8-608b-4962-9dba-881857becf17	Job	John de Kemes	d202fd0b-920e-4d1b-b139-095905bcba2b
magister	9da66961-ce09-4c13-9a2a-1e519aad80a8	Job	Roger de Sevenak	dbc05069-f5d2-49f6-bd5d-8ba49799c92a
vicar in the church of Hereford	3060ae62-da6a-4df8-bf4d-276b4fc5b25a	Job	Willion Vallet	85de980d-dc33-43bf-8ef5-7c5c7b1d4173
treasurer in the church of St. Ethelbert of Hereford	beee84f3-d1fa-476e-b50c-20eef306a91c	Job	John de Kemeseye	b13c6bc6-64bb-48d1-a8b0-20bd479e76af
penitentiary of the church of Hereford	b9dd4470-0d2d-46db-b36a-9a46716878ea	Job	Hugh de Browse	edaa4de3-bbd9-4b1c-9f6c-e09b77413517
tailor	ba77ca20-6b57-4e84-b9be-925b505d04b7	Job	Thomas de Aylineston	57813c69-6e3c-4c9b-bf42-219f87c2427d
dean of the church of St. Bthelbert of Hereford	9250092c-90af-469e-b20a-90c9559fe33d	Job	John de Aqua Blanea	b2036595-4035-411a-bc27-64845f618521
bailiff of the bishop of Herefor	84183a45-692a-425b-ac45-1603eb0d2828	Job	John de la Felde	01467eae-0f9e-4984-aa4c-b5cbd7a7d71f
clerk	2659f055-466a-49a5-abb5-97b9aa4d4148	Job	Nicholas de Reygate	111bb982-b7db-41e1-9088-7e879cce6ecd
clerk	19e29f23-264f-49c3-a2a1-f8fd0547db32	Job	Nicholas de Reygate, clerk	09215349-392c-442f-b081-4a6491811f71
clerk of the king for receiving bonds of debt	7bf50cd2-be40-424a-b918-9e6a281dfad8	Job	John Lightfot	86b37006-692a-431f-a38f-f995e2e43825
dean	776c9637-1d9b-4d03-be92-eb9ebb9eb359	Job	John, dean	763325b4-61b8-4664-92ad-df1411799310
clerk	fa270742-a7dd-4464-a222-5892b8faefde	Job	Hugh son of William le Stedemon de Ros, clerk	d90a6b8d-2475-4b6d-99cb-9f4e1c130995
clerk	8365b630-b404-4e1e-a2da-21d2e928e43d	Job	John de la Barewe	1fc85450-4ffd-4709-a463-2d044a4b4f02
archidiaconus Aranensis in ecclesis Connen'	cb7d8d0a-6639-4b69-a1c0-de761d226338	Job	William de Tests	08828b0c-a8d8-48f3-a93a-2552a138ef88
bishop of Hereford	7eff13be-b9f2-4045-bad4-3969cec24c7d	Job	Richard	601e8446-74a4-4cc1-b5a7-9e7aa24c0731
proctor of the chapter of Hereford	bccc9d1b-836e-4276-a9bc-8d41bdbaabb5	Job	John de la Barewe	1fc85450-4ffd-4709-a463-2d044a4b4f02
notary public	d413601b-c407-4132-b35f-84266fea1dc4	Job	Robert, called le Dorturer de Selebourne	48a6a632-c633-44af-bc85-14ae2ebb7a01
lord of the honour of Brember and Gower	3d1501fc-3e0b-4c52-ba4d-31df03737b63	Job	William de Brewosia	af89b1cf-4d5b-4d68-8026-e3327c8b52a5
penitentiary of the church of Hereford	e69adca7-5a17-4f2e-b3b7-616380fb8845	Job	Hugh de Breusa	b8c87725-248c-4c9b-8c2e-86c498ccd08e
the abbot and convent of Wigmore	cb3d5e75-6752-4b3b-8aa1-39de72d1132c	Job	collectors of the tenth for the archdeaconry of Salop	b7fdb3b3-eccc-4519-877a-d32b7c133ffc
collectors of the tenth for the archdeaconry of Salop	b7fdb3b3-eccc-4519-877a-d32b7c133ffc	Job	the dean and chapter	10d685b8-8100-4c97-8b35-ada815eaf37c
dean and chapter of Hereford	e0d840b4-8592-45b6-bc50-1366b6b7d535	Job	collectors in the city, deanery, and archdeaconry of Hereford of the tenth for six years lately imposed by Pope Clement V	b24452df-6bdb-40dc-97f4-1d2833085753
archbishop of Canterbury	7cfb5148-e2a7-45fd-b3bb-022f080c541f	Job	John	bf1d71ba-b209-4a32-9f59-a2a6368b9a50
chaplains	2826de1b-b491-4ce6-9317-a2b0121eaa8a	Job	Richard de Wykkewane	b89495a3-f026-4d3e-8085-2b2f46a66f88
chaplains	2826de1b-b491-4ce6-9317-a2b0121eaa8a	Job	William Vallet	deace25d-0f38-4de3-90c9-eeabfabee1d9
chaplains	2826de1b-b491-4ce6-9317-a2b0121eaa8a	Job	John Helle	2f0c55d7-725c-4552-9476-9c951a24d7a9
archdeacon of Hereford	e6b24a3d-39e0-4ad2-bf38-68463c126eb0	Job	Henry de Schorne	43bb6fdd-c4c4-48f9-9f61-59956184f475
clerk of the diocese of Hereford and notary public	da7c8572-9eec-474a-b3e8-de8307683c73	Job	John de Almalia	8a2f7c3f-960d-43b8-9065-e91d28fc687c
bishop of Hereford	b4e47a56-e9d1-4b37-ba44-cfd74d974b74	Job	Adam	278cd15e-4b26-4c70-8f80-9d75bb3302a6
laymen	083647dd-ada5-48dc-84a6-e4e920fae8f4	Job	Walter de Norton	78a44aaf-9ed9-4e5b-86f1-9ff84318a80d
laymen	083647dd-ada5-48dc-84a6-e4e920fae8f4	Job	John le Blak	aa51a009-219b-44a9-ae94-454c4d891fd6
canon of Hereford	d903a8a2-2e4a-4039-9a48-c518de7a9dad	Job	William de Kyngescote	75d860eb-33f3-4e19-b931-0b5a149daa5e
dean and chapter of Hereford	513411bf-cc34-4537-9dc2-08b9e29d87a7	Job	collectors in the city, deanery, and archdeaconry of Hereford of the tenth for six years lately imposed by Pope Clement V	9fd15546-0c14-45b0-803f-0b84fea23769
bishop of Hereford	476191d8-37ed-4d18-adad-4adc2f9f17f5	Job	Adam	b8cc2d4f-1ed9-4810-b029-369025fc24e3
abbot	ddeb011c-c827-4988-a993-cc8b57bd50ab	Job	John	937521a2-dc34-463e-b2a6-111a6d5b1e17
abbot	6a8854f2-c9ac-4a3b-b94c-745d2d854b46	Job	John	51ce8f74-6871-4f3f-8d91-a0fd46fb4937
abbot	ccc5104f-74b5-47a9-9c9c-926b7ace1d4d	Job	John	6b49a1c7-5659-4b80-acd8-3190906b75c5
abbot	596381b2-ae8b-4ee2-9b64-017f2512b83c	Job	John	665ac809-15bf-4caf-9118-968d921a2727
canon	5e11b759-ee8a-418e-8506-3b77c382316c	Job	William de Caple	3a998812-acc2-4f26-891d-5a7f2aba7290
archdeacon of Aran in the church of Comminges, papal chaplain and envoy in England	101abfcf-06f9-4b5b-a4f5-456d26a6db67	Job	William	3fbe9f43-6f1c-4b7e-86b1-d580df198b29
bishop of Hereford	edeb3e2a-3372-46b1-b7c2-0f310f5cbec5	Job	Thomas de Cantilupo	0c4d01fc-e209-42c7-84a0-72985477ad53
penitentiary of the same church	bf2e3544-185b-43b5-bcc6-2ce9de3506a6	Job	Hugh de Breosa	1c7044e8-6760-4b4a-b215-533179395f92
episcopus Portuen	55f51208-2dca-40a1-bcf3-6b2e1437d730	Job	John	747a650a-9f93-4ac5-9a5f-022972cce40e
deacon of St. Nicholas in the Tulliam prison	b117d78c-8411-44b9-9072-c00d28a61203	Job	William	7071ba25-1eed-43ae-95dc-401201557a26
cardinals	9314dde3-f8a1-456d-801e-d9bcc9f05ec2	Job	William	7071ba25-1eed-43ae-95dc-401201557a26
chancellor of the church of Hereford	d154a563-a3e1-4928-8f84-f123a9a95ea2	Job	Robert de Glouc	cc7b89b0-a14c-4be6-ae4b-5a2b290697d2
archdeacon of Aran in the church of Comminges	05eb01b9-3755-4ab1-8005-e99b6b7e4328	Job	Guillelmus Testa	512aef1f-e8aa-4d23-95bf-48dbf9a5fb01
chaplain and envoy of the pope	d6698aa5-2749-4b3b-b050-0ed9fe3ea955	Job	Guillelmus Testa	512aef1f-e8aa-4d23-95bf-48dbf9a5fb01
bishop of Hereford	2560a9cc-b718-436f-80be-d85df35bfd8e	Job	Thomas de Cantilupo	1666f889-955c-4e4e-95fd-fb81833e503d
canon in the church of Hereford	2ed89724-049c-4608-9a97-14126abfe415	Job	Philipp Talebot	c3e054c6-a03b-4702-9037-723eea85ae13
commissioners for the dean end chapter of Hereford	e93b637d-c7e0-4be0-bb26-f1c27a5e6a9c	Job	Portuens'	9797ef80-b20e-47b0-acde-dc892d7ccee5
commissioners for the dean end chapter of Hereford	e93b637d-c7e0-4be0-bb26-f1c27a5e6a9c	Job	Guillelmus de Bergamo	7dd1c8c0-ec61-4835-8b20-3247463b5cce
his proctor	7df38f09-ca11-497b-bddf-06cb5798c252	Job	Adam de Orl'ton'	ebd65200-a6ec-45cf-8192-bc878d3a2cff
archdeacon of Aran in the church of Comminges, papal chaplain	9334ec67-79f2-4e8b-a58a-807962654e3e	Job	William	c1911a2e-32b4-4529-b6b3-785f10e177da
executors of the will of magister Philipp Talebot	155f892d-3966-4387-89b2-7433c744ddc0	Job	Alfredus	d307a223-fd8e-4a98-9562-313f079c8da7
executors of the will of magister Philipp Talebot	155f892d-3966-4387-89b2-7433c744ddc0	Job	John Talebot	fd5a88f7-2146-4943-868a-a6701b184ddc
dean	34c17acc-7f0e-4f56-8d88-f77ef38d9463	Job	J., dean	b5a72f9a-028f-40b0-8b7c-5add89738a36
clerk	a3463eb1-b3e4-4772-84c3-d310fa1e6597	Job	Thomas de Gynes	1f051c49-672f-40fc-a571-224754c2e510
cardinals,	de26ff18-7b58-4183-a916-daf955d75ade	Job	Guillelmus de Bergamo	7dd1c8c0-ec61-4835-8b20-3247463b5cce
cardinals,	de26ff18-7b58-4183-a916-daf955d75ade	Job	Portuens'	9797ef80-b20e-47b0-acde-dc892d7ccee5
bishop of Hereford	cb015c64-2e6e-4945-9a74-a059da3cb6c3	Job	Thomas de Centilupo	20d7eb4b-a598-4e46-905e-6e7b9afeeb06
priest of St. Sabine	828926f1-1f6d-406a-8fcb-d772c060bf55	Job	Thomas	fdc98e3f-91bf-4838-96be-d2db375150ec
cardinals	9314dde3-f8a1-456d-801e-d9bcc9f05ec2	Job	Thomas	fdc98e3f-91bf-4838-96be-d2db375150ec
bishop of Hereford	4ddbca8e-e127-4193-a7e5-539cde1947c3	Job	Thomas de Cantilupo	33985e0a-b0d6-427d-9611-245d9afdcd04
chaplain	d30d634b-923f-484e-b270-7775d9d13357	Job	Alfredus	d307a223-fd8e-4a98-9562-313f079c8da7
archdeacon of Hereford	a70ef14b-3d37-4efd-b6dd-08a5173c5700	Job	H. de Shorn	49f81339-7a2a-4fc3-aae7-da50b01440d3
bishop of Hereford	7734148b-f7d3-407d-be83-951cf6196cf7	Job	Thome de Cantulupo	3bdeb895-35a4-4c0c-8913-489f7babc00d
dean of the church of St, Ethelbert of Hereford	96811cb5-a483-47e2-a254-28474bdee5cb	Job	John de Aqua Blanca	0ea984bd-892b-4c09-be5b-7f0198062f53
clerk	d04aca7d-da28-44f5-8c7b-c9b4a98037eb	Job	Henry de Heyton	97a56794-62c8-4677-805c-d71e9e1e5c71
clerk	17a0e5f7-778a-4fc9-b08e-85740075bc2d	Job	Godfrey de la Leye	28cc9507-f86f-45aa-9839-dedf1d490d85
knight	c0722c2a-594b-4186-862b-886e61ef3939	Job	Grimbald Pauncefot	0d92670f-3393-49aa-a9ed-ebe17e22b79b
corporal possession of the church of Saint Ismahe	f374daee-9bfa-4f38-8545-8c6ea6ef6f99	Job	Maurice	239ad2f5-4a42-4723-84d1-840d20e40988
vicar of the church of Landesteffan	a7a06591-f3a1-46b1-8931-ca40b97fd412	Job	Gregory, perpetual vicar of the church of Landesteffan	07e611cd-683a-4253-9ab4-5a7d15254574
bailiffs of the king at Hereford	505c6dfe-ffc7-48b9-8621-caab60ce2a23	Job	Roger Ochelmon	00ada241-068d-4320-a07b-927f06d8a716
bailiffs of the king at Hereford	505c6dfe-ffc7-48b9-8621-caab60ce2a23	Job	Roger Penk	806759bf-eecb-49ed-96f8-30214802dbb6
bailiffs of the king at Hereford	505c6dfe-ffc7-48b9-8621-caab60ce2a23	Job	Hugh Troue	2f970317-e21f-4873-a860-9d850ade2177
commissary general of the official of the Court of Canterbury	d0e83def-5888-42a4-8802-84acb1b0b6c2	Job	the dean of the church of the blessed Mary of the Arches at London	4c2b1d73-629b-48a5-8993-e78bad3f2c02
rector of the church of Penbray	102542c7-1602-480f-9e98-0f6f95b22ecb	Job	John, rector of the church of Penbray,	901a4e4f-63d6-40c9-94ad-7760a3cbf4e6
rector of the said church	0bf02575-b013-4054-94f5-91fbfa5b9529	Job	Maurice	c9d87375-5656-464f-98c4-3e57de1d7464
rector of the said church	0bf02575-b013-4054-94f5-91fbfa5b9529	Job	la Boxe	ef2d3764-8f25-4708-8e03-aeb20f900a7c
rector of the church of Penbray	5e585f33-602b-4cc0-8da4-81d1ca0c8e97	Job	John, rector of the church of Penbray	fb08c2df-2e39-4e39-9a85-180cc80c1fa2
corporal possession of that church	5e2d44f9-2e36-41ef-b54a-e24e7d2cb618	Job	Maurice	f8bd56ce-73d2-43ee-9f1f-a9570cb9e638
perpetual vicar of Landesteffan	94c1b34c-de47-4c2c-aa03-709a20b3e0d9	Job	Gregory, perpetual vicar of Landesteffan	0382e489-471c-4f99-b985-19b71ba22ab6
citizen of Hereford	17d82d3f-6a72-4ceb-b2e5-661cb7634a54	Job	John Lightfoot	5f511fd7-6ad5-4942-acad-a64cc8e47a0a
sub-treasurer in the church of Hereford	4a6c43c6-068d-4ceb-883d-eddf8a2983a3	Job	Williem Valet	6ce7b48a-aef1-432b-a40b-c5c26c94f3a5
bailiff of the dean and chapter of Hereford	7f96737e-9432-45b9-8e99-c5c44b6fa49a	Job	John de la Barew	06ac5d86-292b-4e0d-8790-a163f19843b4
bailiff	c39fde79-5071-4c52-8abf-fce42b438e65	Job	John de la Barewe	d22e1950-79e0-4813-b6ad-2910bd2fb205
clerk of the dean and chapter of Hereford	69ca346e-f3dd-4180-9f20-e89cd38f4858	Job	Robert de Cotinton	341300ea-a58f-4130-b00c-80019b3b1482
receiver	3c460a8e-8836-4443-b36b-44958cb7514f	Job	W. the Young	2b7d6b15-a752-49d5-838c-039b0ff5d5a1
clerk of the dean and chapter of Hereford	bf7333ad-2824-46bd-868f-7ec697997117	Job	Adam de Barewe	fc423dc1-e744-4ee6-a552-b0a55480382d
bailiff of the dean and chapter of Hereford;	473b4d0f-fab5-46b7-aef3-c4958e2ebf44	Job	John de la Barewe	dd65b3fd-d2d0-4c36-9a73-04bee3edcd01
chaplain	9056524c-630f-4a44-aa3b-bd3e07c3ea99	Job	William de Foston'	45ab5f69-b8ec-453e-910e-bfc473622697
receiver of the said dean and chapter.	9fa2cfa0-104f-4ed7-89c9-a50a0fa1ed24	Job	William de Foston'	45ab5f69-b8ec-453e-910e-bfc473622697
marshal	56704c78-5cb7-4555-a68c-e5bf13dc5f03	Job	Roger	b833a58f-759d-4b87-b008-86867e9e978d
bailiff of the fee	df468300-e304-4387-a9df-cef2f170ab48	Job	Roger le Tailour	297684bb-1501-4598-8139-d201a05dc64d
baliff of the fee	7940af80-33c2-4bd0-9c60-9926a6cb57ea	Job	Roger le Tailour	b02d27fe-ea25-41bf-920f-4f3bdeee8bdf
marshal	97ccbbca-1e7c-42a0-a996-154ba8d5988b	Job	Roger	ab8ff5c5-e42e-4f2c-9a2e-e4df42433758
marshall	d5705f09-62c4-4bd5-bc27-1b8acb5b86bf	Job	Roger	84db6da7-356a-4a9b-904a-a1e6c32f9d1a
bishop of Hereford,	f4bd204c-2734-4ce6-923a-b89e766d2668	Job	Richard [Swinfield]	b09c8144-9bde-42e2-9cdc-a6fc2e0bbba9
Bishop	71dcd7c0-604e-4cbf-b89b-ba2757a9e4d4	Job	Peter d'Aigueblanche	56981f56-8ebe-44e4-bd6b-0a53de034625
chaplain	1f6e449d-80ab-47fa-b026-2f3031791d2b	Job	Thomas Legert	d8829dda-e2cf-49b1-bca8-c70d66f71702
rector	91d85ce1-f664-4cb6-9716-b69d9d4e8714	Job	Phillip Bernard	cd282225-ad02-4579-be22-0c7eba3bf395
abbot	cbc540b1-6bb8-4425-90fe-1eb220846206	Job	Frater John	01b7e474-56af-43de-afe5-d0eb29573e12
knight	b313df3f-471d-4e8d-a1ce-83466cad8ffd	Job	Robert de Penres	aa88a260-2406-4d12-9fc8-07f4d5d0a76a
chancellor of the church of St. Ethelbert of Hereford	6760b247-ada9-4ead-be86-335a9c3fa6b2	Job	Robert de Gloucestria	ba3cea15-b539-406f-ae4f-c53a19dfdf2f
dean	0758e4cc-c50d-4fc1-8bcd-9af7e129fdb7	Job	John	28f3c4a1-56f5-4825-9c83-a97ff9a51eef
substitute proctor of Bartholomew the scribe of Hereford,	7b260825-4927-40f0-a8a0-d360f021d99d	Job	Hugh de Breynton	fac7fb54-6ff8-4d0e-b172-e9eb5f964d9b
perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	aeca1671-7e0c-4c0f-8e63-571fc277b17d	Job	John son of John the baker	c5abf226-9faf-4a22-85d8-efc4ef6c2364
perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	aeca1671-7e0c-4c0f-8e63-571fc277b17d	Job	Phillip de Stottesdon	5451def1-9f23-4038-8774-41f3b5186c8c
perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	aeca1671-7e0c-4c0f-8e63-571fc277b17d	Job	Ralph de Buesham	68e38578-29a5-4ec5-8e99-da0cb6f56fa1
clerk	4e970e31-9e22-406a-976e-927b0cf2cfe4	Job	Hugh de Breynton	fac7fb54-6ff8-4d0e-b172-e9eb5f964d9b
baillif of the dean and chapter in the city of Hereford	2547502b-3714-4d04-965a-7cc492663bfc	Job	Richard de La haye	469abb40-84fc-44a5-9bdc-ffa87d06c72e
bailiff of the bishop of Hereford	be1d724a-ae3b-4e50-9872-34f6e242eb69	Job	Walter Thorgrym	0f3a7e5a-6974-4229-98e8-5cec473eabdc
his proctor	942cdc09-9e9f-440b-81e8-04a30f3e763d	Job	John de Cherlton	180e2beb-d5c8-4491-8778-99dbaafb4e07
bailiffs of the king of England	d41437d2-f86e-4c6f-97d6-170522c56fcc	Job	Hugh de Monyton	6a8f7d42-b3b3-4804-ae0b-e738bec294f8
bailiffs of the king of England	d41437d2-f86e-4c6f-97d6-170522c56fcc	Job	Thomas Tope	6968e8b5-2273-4a98-a5af-b7d73096799f
bailiffs of the king of England	d41437d2-f86e-4c6f-97d6-170522c56fcc	Job	William de Orleton	4bad5619-6fbe-408b-ba05-532ce191ec47
their fellow canon and proctor	57cdb6b8-5458-4751-ba35-91b4c08abb98	Job	John de Ledecote	3e87520d-fe40-4a06-bb2b-341da1bb38a3
canons of the cathedral church of Hereford	36a3049b-fd18-4872-99a6-78fd1ba0431f	Job	Richard de Nonnynton	cf8a4326-0f0f-4770-8a59-9e1cb00462cf
canons of the cathedral church of Hereford	36a3049b-fd18-4872-99a6-78fd1ba0431f	Job	Hamon de Sandwyco	9bd0889d-bbd5-440e-ba6f-86a14754207a
dean of Hereford	f69fca1f-d8a5-49b8-96cf-ddc085ec7bbc	Job	Stephen de Thansto	997f1e1a-6556-4026-8bd1-7e3d626cecb6
bishop of Hereford	905d7d63-76f2-43c5-be8a-27ee33e7ecbd	Job	Adam [Orleton], bishop of Hereford	0d485c10-2ba1-4865-8723-9a5396bec389
the bake	7fd5ecc6-958c-4117-9268-c96f74f432db	Job	John the baker	55db640a-cf3e-46d6-ae6c-303a6e07c5d6
le Deyare	069e1496-e851-49e7-adfb-a1a52c4c04ba	Job	Giles le Deyare	2f2b7bf9-8aba-4b66-9153-5446ee753ac0
clerk	36ea3c32-0b09-45c3-a565-e9d863960b22	Job	Richard Heruy	f0c7307a-b7c0-4c77-a100-e481c05189e8
perpetual chaplain	352ebc1e-7933-4d0c-ad91-35eb245048f4	Job	Richard de Wykewane	e337ec31-ba1c-407c-9d35-0cd2012de4da
penitentiary in the church of St. Ethelbert of Hereford	79a2d28f-d5ed-4da7-96c3-f41e229ed70d	Job	Hugh de Brehousa	b7d410d0-0c08-4466-8197-b809f45c40f4
rector of the parish church of Hompton' near Hereford	bee33a61-9920-4388-a949-1084a5b515d7	Job	Thomas de Dan	b08c7465-e4d0-48cf-83e4-16978b59f673
commissary of the official of Adam [Orleton], bishop of Hereford	f16a34ca-ccff-4c7d-ab5e-9699a5579d9d	Job	Richard de Sydenhale	8c36dc0f-d3cf-41f2-a2c8-0d4eec7e6d5d
executors of the will of dominus Stephen de Thansto, formerly dean of Hereford	af58d856-e070-49e4-b9bb-77c09e2d3382	Job	Robert de la Doune	e7210b03-da7d-408a-87e5-1d53ec3c05c2
executors of the will of dominus Stephen de Thansto, formerly dean of Hereford	af58d856-e070-49e4-b9bb-77c09e2d3382	Job	Richard de Nonnynton	cf8a4326-0f0f-4770-8a59-9e1cb00462cf
executors of the will of dominus Stephen de Thansto, formerly dean of Hereford	af58d856-e070-49e4-b9bb-77c09e2d3382	Job	Hamon de Sandwyco	9bd0889d-bbd5-440e-ba6f-86a14754207a
rector of the church of Wrocwardin	b15d29a6-429a-487e-a81f-19092c1e5276	Job	John de Cherlton	180e2beb-d5c8-4491-8778-99dbaafb4e07
