Document Number,Normalized text,QUOTE_TRANSCRIPTION,Alternate Numbering,UUID,Person ID,Supplemental naming,COMMENTS,TAGS,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
HCM 10,John le Shipward,John 1¢ Sypward,,07c8ef19-f64d-49b5-a866-f11cf059f1ae,07c8ef19-f64d-49b5-a866-f11cf059f1ae,,,Witness,,,,,,,Witness,,M
HCM 10,William the Young de Fostone,"William his nephew, chaplains.",,0934414c-edea-4554-bf76-dc141f3d2e5c,0934414c-edea-4554-bf76-dc141f3d2e5c,chaplain,nephew to Robert the Young,Principal|Clerical,,True,,,,Principal,,,M
HCM 10,Bartholomew le Spicer,Bartholomew the apothecary é othecarius),,1ff1abc6-e1a7-43f7-9391-15e8c95f8388,1ff1abc6-e1a7-43f7-9391-15e8c95f8388,,,Witness,,,,,,,Witness,,M
HCM 10,John Lyghtfot,"John Lythfot, bailiff of the chapter",,3a67e78b-ec43-4730-b479-3431c316781b,3a67e78b-ec43-4730-b479-3431c316781b,bailiff of the chapter,,Witness|Agent,Agent,,,,,,Witness,,M
HCM 10,Philip Howell,Phillip Howettt,,3d5be2ba-6586-4534-890c-54f487f3c8ee,3d5be2ba-6586-4534-890c-54f487f3c8ee,,,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 10,Nicholas de la Calewe,Nicholae de la Calewe OF este seen y wat,,a6bd15db-2d3d-4cc5-a506-7a5f3266c887,a6bd15db-2d3d-4cc5-a506-7a5f3266c887,de Chirchebreynton,,Principal,,,,,,Principal,,,M
HCM 10,Reginald Monyword,Heginald Moniward,,b99ed950-241e-4023-b3a2-e54563711d2c; 9429e0c1-7c66-4a6f-bdde-457d1c96a439,b99ed950-241e-4023-b3a2-e54563711d2c,,,Neighbor,Neighbor,,,,,,Witness,,M
HCM 10,dean and chapter of Hereford,dean and chapter of Hereford,,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Collective|Clerical|Lease-holder,Lease-holder,True,,Collective,,,,,M
HCM 10,Robert the Young de Fostone,Robert the young (dicto juveni),,362224a6-5994-424c-8c3b-973a55950408,ecbef2e8-0dc9-414f-8cae-dd9629492ff1,chaplain,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1003,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford","RBLR 1732, HCM 1003",1eb4933c-65f8-40fc-9eb8-7a62800229b5,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1003,Richard de Wynchecoumbe,Richerd de Wynchecoumbe,"RBLR 1732, HCM 1003",493e2eec-f31e-4b9d-8d58-095a9a3fe42a,493e2eec-f31e-4b9d-8d58-095a9a3fe42a,,"cf W. de Wycombe, precentor Leominster, composer of Sumer is ycumen in?",Principal,,,,,,Principal,,,M
HCM 1003,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","RBLR 1732, HCM 1003",82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 1005,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford,","RBLR 1713, HCM 1005",f4c7fb82-e77a-4465-97e3-49daa6dcb1e9,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
