Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 10	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT
HCM 1434	LETTER OF QUITTANCE	chapter house at Hereford	1323-10-15T00:00:00Z		1323s Saturday next after the feast o f Saint Qionysius [October 1$]		the chapter-house at Hereford		added manually
HCM 1435	LETTERS OF PATENT	Westminster	1320-11-20T00:00:00Z		1320, November 20.		Westminster		added manually
HCM 1685	LEASE	the chapter-house at Gloucester	1333-01-01T00:00:00Z				the chapter-house at Gloucester		added manually
HCM 200	GRANT	Hereford	1353-02-07T00:00:00Z		1352/3* Thursda y nex t afte r th e Feas t o f the Purificatio n o f th e Virgi n Mary February 7j .		Hereford		added manually
HCM 2077-em	GRANT	Pyonya Canonicorum		1346-07-29T00:00:00Z			Pyonya Canonicorum?		added manually
HCM 2222	NOTARIAL INSTRUMENT		1303-07-30T00:00:00Z						added manually
HCM 2914	LEASE		1329-07-01T00:00:00Z						added manually
HCM 3155-em	LETTER			1314-06-05T00:00:00Z					added manually
HCM 339	RELEASE		1329-06-25T00:00:00Z						added manually
HCM 98	GRANT	Hereford	1337-06-25T00:00:00Z				Hereford		added manually
HCM 1003	RECEIPT	Hereford	1317-05-18T00:00:00Z		1317,  Wednesday next after the Feast of the Ascension of our Lord [May 18]		Hereford		1317, Wednesday next after the Feast of the Ascension of our Lord [May 18], RECEIPT
HCM 1005	RECEIPT	Bos'	1317-05-05T00:00:00Z		1317,  Thursday next after the Feast of the Invention of the Holy Cross [May 5]		Bos'		1317, Thursday next after the Feast of the Invention of the Holy Cross [May 5], RECEIPT
HCM 1023	RECEIPT	Hereford	1317-05-19T00:00:00Z		1317,  Thursday in the octaves of the Feast of the Ascension of our Lord [May 19].		Hereford		1317, Thursday in the octaves of the Feast of the Ascension of our Lord [May 19]., RECEIPT
HCM 1024	RECEIPT	Hereford	1317-04-26T00:00:00Z		1317,  April 26.		Hereford		1317, April 26., RECEIPT
HCM 1025	RECEIPT	Hereford	1317-04-30T00:00:00Z		1317,  Saturday next after the Feast of Saint Mark the Evagenlist [April 30		Hereford		1317, Saturday next after the Feast of Saint Mark the Evagenlist [April 30, RECEIPT
